timestamp,open,high,low,close,volume
2026-05-15,218.2000,220.9100,217.6150,219.3000,6154450
2026-05-14,215.5450,220.9600,215.0000,218.3700,5906199
2026-05-13,218.2700,218.3100,212.3400,214.6400,8361214
2026-05-12,224.4300,224.4300,219.2200,219.2200,6045225
2026-05-11,228.6600,230.2300,222.5500,223.5500,6677186
2026-05-08,229.7300,230.7050,224.8300,229.7600,5332800
2026-05-07,227.5000,231.8200,227.4100,231.3100,5485545
2026-05-06,228.7500,229.0000,224.3800,225.7400,7673185
2026-05-05,230.1600,231.0000,227.1500,229.0300,4221889
2026-05-04,232.0000,234.0900,228.6150,229.4800,4003082
2026-05-01,234.5500,235.9500,231.7500,232.2000,3582091
2026-04-30,226.5300,231.6000,224.9000,230.9800,6283334
2026-04-29,230.3400,231.4800,226.8200,227.1000,6443724
2026-04-28,230.5000,233.5550,228.4600,233.0400,5162895
2026-04-27,229.9500,231.3200,227.1200,228.0500,8060665
2026-04-24,231.9300,232.7999,225.0000,231.9800,9816859
2026-04-23,232.2700,232.9100,221.7300,231.0800,22297831
2026-04-22,254.5100,257.5400,247.2100,251.8600,12190197
2026-04-21,254.0000,258.0900,251.8650,255.6800,5584901
2026-04-20,255.0000,258.5000,252.5600,253.7100,5157714
2026-04-17,254.6700,255.6500,251.0400,253.4700,5671471
2026-04-16,248.7500,251.2200,246.1250,251.0000,4817500
2026-04-15,242.2500,246.0600,240.9850,244.8000,3879518
2026-04-14,238.7500,241.5375,238.1200,240.2700,3777272
2026-04-13,233.6300,238.0700,231.7000,237.8200,5349619
2026-04-10,239.1900,239.2674,230.5100,230.7600,5869361
2026-04-09,240.8800,241.7400,233.7600,237.1800,5078595
2026-04-08,248.6300,250.0000,240.8000,241.7400,4771476
2026-04-07,245.3200,245.7600,241.1000,245.0700,2356072
2026-04-06,248.1400,248.8999,244.7400,246.7400,3376019
2026-04-02,243.0000,248.2103,241.4850,248.1600,3350858
2026-04-01,242.1200,246.2618,240.1400,243.1400,4228653
2026-03-31,240.2700,242.8500,236.3800,242.3900,4750293
2026-03-30,237.8000,240.2100,236.1310,237.2500,3882602
2026-03-27,238.8500,239.4400,233.7500,236.3400,4853707
2026-03-26,240.5600,246.6742,239.8000,241.6700,3606840
2026-03-25,243.6000,246.1900,238.0000,241.3900,4207946
2026-03-24,246.4450,247.1100,238.0000,240.5900,4151491
2026-03-23,246.5000,251.3500,244.7101,248.4400,4972008
2026-03-20,249.0000,250.2800,241.7700,241.7700,11314093
2026-03-19,249.4300,252.1900,248.2500,250.3700,4249458
2026-03-18,254.1600,258.2800,250.1600,251.6000,5177047
2026-03-17,250.5100,256.3900,250.0000,256.1100,5840139
2026-03-16,247.8700,252.2000,246.1000,249.2500,5674228
2026-03-13,247.6700,249.7200,244.7100,246.2800,4338431
2026-03-12,247.1000,250.0450,245.6400,247.6800,5547724
2026-03-11,250.0050,253.7150,247.2000,248.8700,4012239
2026-03-10,253.2600,253.4400,246.5500,250.2000,4937960
2026-03-09,255.3800,258.0800,251.5710,253.3300,6126567
2026-03-06,256.4400,259.3999,252.2100,258.8500,6234402
2026-03-05,249.3200,260.3800,249.0000,256.5500,9899962
2026-03-04,245.7450,250.8500,244.9550,250.0600,6084995
2026-03-03,236.3500,246.0900,234.2900,245.2800,6960369
2026-03-02,235.7000,240.7800,233.7800,239.3700,6220287
2026-02-27,238.0700,240.2100,234.5650,240.2100,6642222
2026-02-26,239.7100,247.4899,238.9500,242.0100,7343055
2026-02-25,233.2200,239.5500,231.2200,237.5400,8569713
2026-02-24,227.8000,236.5937,223.6300,229.3200,13379817
2026-02-23,254.3700,255.1900,220.7200,223.3500,19522881
2026-02-20,255.1950,259.0400,253.8000,257.1600,4708550
2026-02-19,256.0000,258.2800,253.5110,256.2800,4948700
2026-02-18,258.6400,261.1100,256.2500,260.7900,3949229
2026-02-17,259.2000,260.7000,254.6500,258.3100,4929733
2026-02-13,260.0000,264.6600,256.6400,262.3800,6842620
2026-02-12,270.3000,271.3000,257.2200,259.5200,12565380
2026-02-11,292.3400,293.5000,272.3601,272.8100,7628244
2026-02-10,294.9900,297.6100,290.3300,291.7600,3837343
2026-02-09,295.9100,297.7200,291.4200,296.3400,4627815
2026-02-06,292.5000,299.8900,290.6570,298.9300,3744313
2026-02-05,286.1000,291.8100,285.1000,289.8900,5532797
2026-02-04,291.4100,291.4100,278.9600,289.0500,8708033
2026-02-03,312.4000,312.9750,283.8500,294.3100,11296020
2026-02-02,307.5100,316.6400,306.4100,314.7300,4581189
2026-01-30,307.6000,307.7830,299.7300,306.7000,5940669
2026-01-29,317.8600,319.9000,303.4700,309.2400,10124929
2026-01-28,294.1700,295.9500,291.2601,294.1600,5790347
2026-01-27,297.1600,297.3300,293.2700,293.8600,2944722
2026-01-26,293.1600,296.8150,293.1400,296.3300,3726890
2026-01-23,294.0700,294.3350,289.7900,292.4400,3298424
2026-01-22,299.4200,300.9300,293.5300,294.6700,3670152
2026-01-21,292.7600,297.6700,292.5100,297.5400,5185023
2026-01-20,301.3500,301.6000,290.1600,291.3500,7211706
2026-01-16,301.0000,307.4500,300.7800,305.6700,6199635
2026-01-15,309.0000,311.8800,297.0400,297.9500,4932480
2026-01-14,303.5000,309.1900,301.5000,309.0300,3779045
2026-01-13,311.6000,312.8100,301.8700,303.1600,4507760
2026-01-12,302.6200,312.3300,299.9600,312.1800,3895197
2026-01-09,302.6100,307.0000,302.0000,304.2200,2718828
2026-01-08,295.0000,303.6700,295.0000,302.7200,3343273
2026-01-07,302.5000,304.3100,296.3450,296.7300,2833274
2026-01-06,295.0000,303.0400,294.4200,302.4700,4147315
2026-01-05,295.7700,299.1900,294.2500,294.9700,4189960
2026-01-02,297.5600,297.5699,289.0000,291.5000,4662804
2025-12-31,301.7600,301.8500,295.8700,296.2100,3430133
2025-12-30,306.1500,306.2350,302.0000,302.0500,1883651
2025-12-29,304.6500,310.0000,303.7500,305.7400,4664711
2025-12-26,304.6900,305.7500,303.6650,305.0900,2814732
2025-12-24,303.7600,305.1500,302.3000,304.5600,1210642
2025-12-23,301.3400,305.1300,300.6500,303.7800,2923037
2025-12-22,301.0300,303.1800,298.3200,302.7900,2612100
