timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-05-15,228.6600,230.2300,212.3400,219.3000,219.3000,33144274,0.0000
2026-05-08,232.0000,234.0900,224.3800,229.7600,229.7600,26716501,1.6900
2026-05-01,229.9500,235.9500,224.9000,232.2000,230.5045,29532709,0.0000
2026-04-24,255.0000,258.5000,221.7300,231.9800,230.2861,55047502,0.0000
2026-04-17,233.6300,255.6500,231.7000,253.4700,251.6192,23495380,0.0000
2026-04-10,248.1400,250.0000,230.5100,230.7600,229.0750,21451523,0.0000
2026-04-02,237.8000,248.2103,236.1310,248.1600,246.3480,16212406,0.0000
2026-03-27,246.5000,251.3500,233.7500,236.3400,234.6143,21791992,0.0000
2026-03-20,247.8700,258.2800,241.7700,241.7700,240.0046,32254965,0.0000
2026-03-13,255.3800,258.0800,244.7100,246.2800,244.4817,24962921,0.0000
2026-03-06,235.7000,260.3800,233.7800,258.8500,256.9599,35400015,0.0000
2026-02-27,254.3700,255.1900,220.7200,240.2100,238.4560,55457688,0.0000
2026-02-20,259.2000,261.1100,253.5110,257.1600,255.2823,18536212,0.0000
2026-02-13,295.9100,297.7200,256.6400,262.3800,260.4642,35501402,1.6800
2026-02-06,307.5100,316.6400,278.9600,298.9300,295.0483,33862352,0.0000
2026-01-30,293.1600,319.9000,291.2601,306.7000,302.7174,28527557,0.0000
2026-01-23,301.3500,301.6000,289.7900,292.4400,288.6426,19365305,0.0000
2026-01-16,302.6200,312.8100,297.0400,305.6700,301.7008,23314117,0.0000
2026-01-09,295.7700,307.0000,294.2500,304.2200,300.2696,17232650,0.0000
2026-01-02,304.6500,310.0000,289.0000,291.5000,287.7148,14641299,0.0000
2025-12-26,301.0300,305.7500,298.3200,305.0900,301.1284,9560511,0.0000
2025-12-19,308.9850,311.3629,295.7000,300.9800,297.0717,26507574,0.0000
2025-12-12,309.6200,315.3454,303.3300,309.2400,305.2245,15650716,0.0000
2025-12-05,306.5050,311.8300,298.9050,307.9400,303.9413,16688175,0.0000
2025-11-28,299.1800,309.1800,297.0600,308.5800,304.5730,12761439,0.0000
2025-11-21,305.5900,306.0000,288.0700,297.4400,293.5777,23675512,0.0000
2025-11-14,306.8200,324.9000,297.5900,305.6900,301.7206,22302392,1.6800
2025-11-07,308.0000,315.4400,296.0000,306.3800,300.7670,27157777,0.0000
2025-10-31,307.8000,319.3500,301.6300,307.4100,301.7782,32440643,0.0000
2025-10-24,281.2500,310.7500,263.5623,307.4600,301.8273,51704434,0.0000
2025-10-17,279.7900,285.4500,272.5469,281.2800,276.1269,19005226,0.0000
2025-10-10,288.6100,301.0425,277.5000,277.8200,272.7303,24789984,0.0000
2025-10-03,286.0000,293.3200,279.6600,288.3700,283.0870,24519701,0.0000
2025-09-26,266.6200,288.8500,266.0000,284.3100,279.1014,34154715,0.0000
2025-09-19,254.0200,267.8700,254.0000,266.4000,261.5195,25569601,0.0000
2025-09-12,248.6300,260.6600,247.0200,253.4400,248.7969,24066143,0.0000
2025-09-05,240.9000,249.2800,238.2500,248.5300,243.9769,14538355,0.0000
2025-08-29,242.5650,245.9600,239.4300,243.4900,239.0292,18386656,0.0000
2025-08-22,239.5700,243.6800,238.6500,242.0900,237.6549,16264747,0.0000
2025-08-15,242.2400,243.1500,233.3600,239.7200,235.3283,32747166,0.0000
2025-08-08,251.0500,255.0000,241.6500,242.2700,237.8316,27875384,1.6800
2025-08-01,260.3000,265.7999,245.6100,250.0500,243.7786,29960567,0.0000
2025-07-25,286.2900,288.0800,252.7500,259.7200,253.2060,46388289,0.0000
