timestamp,open,high,low,close,adjusted close,volume,dividend amount
2025-11-07,308.0000,315.4400,296.0000,306.3800,306.3800,27157777,0.0000
2025-10-31,280.2000,319.3500,263.5623,307.4100,307.4100,140510939,0.0000
2025-09-30,240.9000,288.8500,238.2500,282.1600,282.1600,110277863,0.0000
2025-08-29,251.4050,255.0000,233.3600,243.4900,243.4900,104957357,1.6800
2025-07-31,294.5500,295.6100,252.2200,253.1500,251.4066,109055173,0.0000
2025-06-30,257.8500,296.1600,257.2200,294.7800,292.7500,74395935,0.0000
2025-05-30,241.4400,269.2800,237.9450,259.0600,257.2759,78164014,1.6800
2025-04-30,248.0300,252.7900,214.5000,241.8200,238.5465,120775331,0.0000
2025-03-31,254.7350,266.4500,237.2240,248.6600,245.2939,100813990,0.0000
2025-02-28,252.4000,265.7200,246.5400,252.4400,249.0227,94123851,1.6700
2025-01-31,221.8200,261.8000,214.6100,255.7000,250.5600,92424171,0.0000
2024-12-31,227.5000,239.3500,217.6523,219.8300,215.4110,81535689,0.0000
2024-11-29,207.7700,230.3600,204.0700,227.4100,222.8386,77280587,1.6700
2024-10-31,220.6300,237.3700,203.5100,206.7200,200.9728,105624376,0.0000
2024-09-30,201.9100,224.1500,199.3350,221.0800,214.9336,83415811,0.0000
2024-08-30,192.8100,202.1700,181.8100,202.1300,196.5105,65453729,1.6700
2024-07-31,173.4500,196.2600,173.3800,192.1400,185.1829,81258646,0.0000
2024-06-28,166.5400,178.4599,163.5300,172.9500,166.6877,70706301,0.0000
2024-05-31,165.6900,175.4600,162.6200,166.8500,160.8086,78620355,1.6700
2024-04-30,190.0000,193.2800,165.2605,166.2000,158.5893,98297181,0.0000
2024-03-28,185.4900,199.1800,185.1800,190.9600,182.2154,99921776,0.0000
2024-02-29,183.6300,188.9500,178.7500,185.0300,176.5570,88679550,1.6600
2024-01-31,162.8300,196.9000,157.8850,183.6600,173.6858,128121557,0.0000
2023-12-29,158.4100,166.3400,158.0000,163.5500,154.6680,87358302,0.0000
2023-11-30,145.0000,158.6000,144.4500,158.5600,149.9490,78460252,1.6600
2023-10-31,140.0400,144.7600,135.8700,144.6400,135.2536,94386980,0.0000
2023-09-29,147.2600,151.9299,139.6100,140.3000,131.1953,82806487,0.0000
2023-08-31,144.2500,147.7275,139.7600,146.8300,137.3015,84274205,1.6600
2023-07-31,133.4200,144.6050,131.5500,144.1800,133.2709,85778938,0.0000
2023-06-30,128.4400,139.4690,127.7800,133.8100,123.6855,100722016,0.0000
2023-05-31,126.3500,130.0699,120.5500,128.5900,118.8605,95710890,1.6600
2023-04-28,130.9700,132.6100,124.5600,126.4100,115.2663,83664114,0.0000
2023-03-31,128.9000,131.4800,121.7100,131.0900,119.5337,138093084,0.0000
