time,PLUS_DI
2024-12-04,42.3765
2024-12-03,35.1827
2024-12-02,35.5203
2024-11-29,38.1073
2024-11-27,38.4566
2024-11-26,43.1979
2024-11-25,40.6003
2024-11-22,44.2759
2024-11-21,39.8309
2024-11-20,27.5362
2024-11-19,18.4470
2024-11-18,15.1573
2024-11-15,16.6213
2024-11-14,18.9930
2024-11-13,21.5653
2024-11-12,23.0009
2024-11-11,25.6033
2024-11-08,26.9258
2024-11-07,23.9340
2024-11-06,25.0313
2024-11-05,12.7336
2024-11-04,12.4963
2024-11-01,13.2593
2024-10-31,10.1331
2024-10-30,11.2624
2024-10-29,13.2334
2024-10-28,14.3861
2024-10-25,15.6327
2024-10-24,17.2489
2024-10-23,27.0330
2024-10-22,29.8634
2024-10-21,30.3138
2024-10-18,32.3857
2024-10-17,35.0943
2024-10-16,38.3017
2024-10-15,41.4207
2024-10-14,43.4819
2024-10-11,39.3377
2024-10-10,42.7372
2024-10-09,45.1809
2024-10-08,36.6803
2024-10-07,34.1564
2024-10-04,32.1343
2024-10-03,25.8018
2024-10-02,20.8440
2024-10-01,23.5463
2024-09-30,27.3106
2024-09-27,29.1668
2024-09-26,32.0477
2024-09-25,28.4670
2024-09-24,27.9897
2024-09-23,28.7098
2024-09-20,24.1384
2024-09-19,26.6286
2024-09-18,32.6015
2024-09-17,35.4903
2024-09-16,41.3844
2024-09-13,39.9302
2024-09-12,35.2762
2024-09-11,32.4699
2024-09-10,26.2177
2024-09-09,26.2055
2024-09-06,26.7713
2024-09-05,30.9569
2024-09-04,30.8001
2024-09-03,35.0128
2024-08-30,31.3964
2024-08-29,31.5102
2024-08-28,30.6717
2024-08-27,31.3031
2024-08-26,30.2313
2024-08-23,29.4268
2024-08-22,32.5470
2024-08-21,33.1503
2024-08-20,32.9633
2024-08-19,33.3865
2024-08-16,31.5598
2024-08-15,32.9752
2024-08-14,31.4786
2024-08-13,28.6383
2024-08-12,30.2016
2024-08-09,32.1384
2024-08-08,31.4948
2024-08-07,28.7515
2024-08-06,28.6093
2024-08-05,23.5170
2024-08-02,28.1225
2024-08-01,31.0912
2024-07-31,35.6645
2024-07-30,35.2356
2024-07-29,38.8261
2024-07-26,43.2567
