time,HT_TRENDLINE
2024-12-04,212.1092
2024-12-03,210.7117
2024-12-02,209.6720
2024-11-29,208.6669
2024-11-27,207.7646
2024-11-26,207.1474
2024-11-25,206.9025
2024-11-22,207.1690
2024-11-21,207.9495
2024-11-20,209.0258
2024-11-19,210.0843
2024-11-18,211.3903
2024-11-15,212.4879
2024-11-14,213.6376
2024-11-13,214.6819
2024-11-12,215.3868
2024-11-11,215.9279
2024-11-08,216.2520
2024-11-07,216.5280
2024-11-06,216.8942
2024-11-05,217.4108
2024-11-04,218.0854
2024-11-01,218.7585
2024-10-31,219.3792
2024-10-30,219.8952
2024-10-29,220.2383
2024-10-28,220.2577
2024-10-25,219.9711
2024-10-24,219.2910
2024-10-23,218.2151
2024-10-22,216.7386
2024-10-21,214.9508
2024-10-18,213.2749
2024-10-17,211.9754
2024-10-16,210.8347
2024-10-15,209.9197
2024-10-14,209.1399
2024-10-11,208.5653
2024-10-10,208.0400
2024-10-09,207.8047
2024-10-08,207.4372
2024-10-07,206.9453
2024-10-04,206.4373
2024-10-03,205.9229
2024-10-02,205.4059
2024-10-01,204.7949
2024-09-30,204.2213
2024-09-27,203.3792
2024-09-26,202.2098
2024-09-25,200.9178
2024-09-24,199.5615
2024-09-23,198.2816
2024-09-20,197.0898
2024-09-19,195.7860
2024-09-18,194.4993
2024-09-17,193.2888
2024-09-16,192.2239
2024-09-13,191.5637
2024-09-12,191.3267
2024-09-11,191.3084
2024-09-10,191.2702
2024-09-09,191.2133
2024-09-06,190.9770
2024-09-05,190.7354
2024-09-04,190.2314
2024-09-03,189.6271
2024-08-30,189.0688
2024-08-29,188.3317
2024-08-28,187.6868
2024-08-27,186.8557
2024-08-26,186.0876
2024-08-23,185.5393
2024-08-22,185.1103
2024-08-21,184.5697
2024-08-20,183.9160
2024-08-19,183.1195
2024-08-16,182.4750
2024-08-15,181.8067
2024-08-14,181.1722
2024-08-13,180.4134
2024-08-12,179.5907
2024-08-09,178.6763
2024-08-08,177.8636
2024-08-07,177.2620
2024-08-06,176.9119
2024-08-05,176.5855
2024-08-02,176.3250
2024-08-01,175.8840
