timestamp,open,high,low,close
2025-11-07,1.15340,1.15910,1.14680,1.15650
2025-10-31,1.17330,1.17780,1.15200,1.15340
2025-09-30,1.16840,1.19180,1.16060,1.17330
2025-08-29,1.14140,1.17420,1.13890,1.16840
2025-07-31,1.17860,1.18290,1.13990,1.14150
2025-06-30,1.13494,1.17880,1.13454,1.17860
2025-05-30,1.13253,1.14187,1.10651,1.13450
2025-04-30,1.08181,1.15733,1.07779,1.13253
2025-03-31,1.04027,1.09547,1.03883,1.08184
2025-02-28,1.02320,1.05289,1.02103,1.03747
2025-01-31,1.03580,1.05334,1.01772,1.03602
2024-12-31,1.05695,1.06298,1.03426,1.03522
2024-11-29,1.08821,1.09369,1.03325,1.05748
2024-10-31,1.11350,1.11440,1.07609,1.08820
2024-09-30,1.10464,1.12140,1.10017,1.11349
2024-08-30,1.08269,1.12015,1.07772,1.10465
2024-07-31,1.07380,1.09481,1.07097,1.08268
2024-06-28,1.08462,1.09160,1.06658,1.07112
2024-05-31,1.06688,1.08950,1.06490,1.08450
2024-04-30,1.07910,1.08851,1.06010,1.06690
2024-03-29,1.08046,1.09813,1.07677,1.07900
2024-02-29,1.08180,1.08974,1.06945,1.08053
2024-01-31,1.10400,1.10460,1.07947,1.08180
2023-12-29,1.08860,1.11395,1.07230,1.10374
2023-11-30,1.05740,1.10171,1.05165,1.08861
2023-10-31,1.05676,1.06943,1.04480,1.05744
2023-09-29,1.08414,1.08819,1.04878,1.05709
2023-08-31,1.09966,1.10652,1.07650,1.08415
2023-07-31,1.09076,1.12758,1.08330,1.09968
2023-06-30,1.06856,1.10122,1.06610,1.09074
2023-05-31,1.10178,1.10917,1.06340,1.06856
2023-04-28,1.08418,1.10954,1.07870,1.10140
2023-03-31,1.05743,1.09300,1.05150,1.08381
2023-02-28,1.08610,1.10327,1.05310,1.05748
2023-01-31,1.07031,1.09294,1.04816,1.08626
2022-12-30,1.04041,1.07363,1.03906,1.07025
2022-11-30,0.98818,1.04969,0.97280,1.04041
2022-10-31,0.97954,1.00937,0.96290,0.98814
2022-09-30,1.00507,1.01979,0.95320,0.98003
2022-08-31,1.02182,1.03687,0.98990,1.00501
2022-07-29,1.04770,1.04820,0.99500,1.02248
2022-06-30,1.07308,1.07738,1.03570,1.04771
2022-05-31,1.05464,1.07870,1.03480,1.07313
2022-04-29,1.10658,1.10761,1.04690,1.05410
2022-03-31,1.12176,1.12331,1.08040,1.10660
2022-02-28,1.12346,1.14949,1.11040,1.12175
2022-01-31,1.13707,1.14830,1.11200,1.12334
2021-12-31,1.13350,1.13865,1.12200,1.13659
2021-11-30,1.15631,1.16164,1.11850,1.13368
2021-10-29,1.15802,1.16922,1.15230,1.15610
2021-09-30,1.18088,1.19090,1.15610,1.15800
2021-08-31,1.18635,1.18997,1.16620,1.18080
2021-07-30,1.18564,1.19087,1.17500,1.18684
2021-06-30,1.22259,1.22544,1.18430,1.18570
2021-05-31,1.20257,1.22664,1.19840,1.22260
2021-04-30,1.17260,1.21500,1.17110,1.20190
2021-03-31,1.20718,1.21133,1.17020,1.17266
2021-02-26,1.21285,1.22432,1.19510,1.20704
2021-01-29,1.22150,1.23495,1.20520,1.21362
2020-12-31,1.19243,1.23101,1.19230,1.22138
2020-11-30,1.16474,1.20033,1.16020,1.19245
2020-10-30,1.17234,1.18807,1.16380,1.16459
2020-09-30,1.19371,1.20114,1.16110,1.17223
2020-08-31,1.17944,1.19661,1.16940,1.19370
2020-07-31,1.12344,1.19088,1.11840,1.17710
2020-06-30,1.11110,1.14225,1.10990,1.12350
2020-05-29,1.09430,1.11452,1.07640,1.11069
2020-04-30,1.10230,1.10374,1.07250,1.09430
2020-03-31,1.10460,1.14961,1.06360,1.10230
2020-02-28,1.10844,1.10910,1.07770,1.10289
2020-01-31,1.12123,1.12245,1.09910,1.10917
2019-12-31,1.10209,1.12393,1.10010,1.12129
2019-11-29,1.11516,1.11755,1.09800,1.10173
2019-10-31,1.08984,1.11830,1.08780,1.11514
2019-09-30,1.09920,1.11096,1.08840,1.08983
2019-08-30,1.10790,1.12496,1.09610,1.09890
2019-07-31,1.13685,1.13711,1.10590,1.10790
2019-06-28,1.11716,1.14122,1.11590,1.13733
2019-05-31,1.12111,1.12648,1.11060,1.11686
2019-04-30,1.12218,1.13239,1.11090,1.12109
2019-03-29,1.13709,1.14482,1.11750,1.12170
2019-02-28,1.14459,1.14885,1.12330,1.13709
2019-01-31,1.14650,1.15698,1.12880,1.14459
2018-12-31,1.13317,1.14859,1.12680,1.14660
2018-11-30,1.13170,1.14997,1.12140,1.13192
2018-10-31,1.16047,1.16246,1.13000,1.13168
2018-09-28,1.15974,1.18153,1.15250,1.16000
2018-08-31,1.16863,1.17335,1.13000,1.15990
2018-07-31,1.16736,1.17908,1.15740,1.16865
2018-06-29,1.17049,1.18518,1.15070,1.16839
2018-05-31,1.20805,1.20842,1.15090,1.17048
2018-04-30,1.23172,1.24137,1.20530,1.20805
2018-03-30,1.21920,1.24765,1.21530,1.23230
2018-02-28,1.24123,1.25556,1.21860,1.21924
2018-01-31,1.20020,1.25378,1.19140,1.24121
2017-12-29,1.18895,1.20255,1.17160,1.19940
2017-11-30,1.16494,1.19612,1.15530,1.18895
2017-10-31,1.18107,1.18800,1.15720,1.16495
2017-09-29,1.19128,1.20924,1.17160,1.18130
2017-08-31,1.18308,1.20704,1.16618,1.19128
2017-07-31,1.14252,1.18457,1.13110,1.18310
2017-06-30,1.12387,1.14456,1.11168,1.14270
2017-05-31,1.09023,1.12683,1.08370,1.12387
2017-04-28,1.06712,1.09509,1.05680,1.08932
2017-03-31,1.05725,1.09061,1.04930,1.06630
2017-02-28,1.07957,1.08288,1.04920,1.05728
2017-01-31,1.05180,1.08123,1.03394,1.07954
2016-12-30,1.05959,1.08735,1.03500,1.05160
2016-11-30,1.09722,1.12996,1.05160,1.05962
2016-10-31,1.12353,1.12416,1.08480,1.09719
2016-09-30,1.11606,1.13271,1.11200,1.12403
2016-08-31,1.11711,1.13663,1.10440,1.11606
2016-07-29,1.10996,1.11974,1.09500,1.11750
2016-06-30,1.11315,1.14280,1.09108,1.10990
2016-05-31,1.14542,1.16163,1.10959,1.11315
2016-04-29,1.13780,1.14648,1.12153,1.14485
2016-03-31,1.08841,1.14119,1.08218,1.13778
2016-02-29,1.08290,1.13763,1.08124,1.08837
2016-01-29,1.08630,1.09846,1.07080,1.08270
2015-12-31,1.05714,1.10600,1.05216,1.08584
2015-11-30,1.10322,1.10530,1.05550,1.05714
2015-10-30,1.11713,1.14952,1.08960,1.10110
2015-09-30,1.12178,1.14602,1.10850,1.11715
2015-08-31,1.09754,1.17140,1.08460,1.12177
2015-07-31,1.11288,1.12159,1.08070,1.09804
2015-06-30,1.09681,1.14362,1.08850,1.11288
2015-05-29,1.12109,1.14667,1.08170,1.09908
2015-04-30,1.07396,1.12662,1.05190,1.12109
2015-03-31,1.11814,1.12405,1.04610,1.07393
2015-02-27,1.13116,1.15338,1.11730,1.11865
2015-01-30,1.20970,1.21075,1.10966,1.12859
2014-12-31,1.24462,1.25699,1.20948,1.20959
2014-11-28,1.25060,1.26002,1.23650,1.24510
2014-10-31,1.26300,1.28750,1.24890,1.25210
2014-09-30,1.31290,1.31590,1.25720,1.26300
2014-08-29,1.33880,1.34430,1.31310,1.31330
2014-07-31,1.36930,1.36960,1.33680,1.33870
2014-06-30,1.36290,1.36950,1.35060,1.36920
2014-05-30,1.38640,1.39900,1.35870,1.36340
2014-04-30,1.37730,1.39040,1.36750,1.38630
2014-03-31,1.37570,1.39640,1.37060,1.37730
2014-02-28,1.34810,1.38230,1.34760,1.37970
2014-01-31,1.37410,1.37750,1.34790,1.34870
2013-12-31,1.35860,1.38810,1.35240,1.37410
2013-11-29,1.35870,1.36210,1.33030,1.35860
2013-10-31,1.35210,1.38310,1.34740,1.35860
2013-09-30,1.32120,1.35670,1.31030,1.35220
2013-08-30,1.32990,1.34500,1.31790,1.32180
2013-07-31,1.30140,1.33430,1.27570,1.32960
2013-06-28,1.29900,1.34150,1.29520,1.30200
2013-05-31,1.31660,1.32420,1.27950,1.29930
2013-04-30,1.28090,1.31990,1.27460,1.31660
2013-03-29,1.30560,1.31340,1.27500,1.28190
2013-02-28,1.35740,1.37110,1.30170,1.30560
2013-01-31,1.31900,1.35930,1.29960,1.35760
2012-12-31,1.29820,1.33080,1.28750,1.31920
2012-11-30,1.29550,1.30270,1.26590,1.29850
2012-10-31,1.28140,1.31390,1.28030,1.29550
2012-09-28,1.25800,1.31720,1.24990,1.28570
2012-08-31,1.22980,1.26370,1.21320,1.25760
2012-07-31,1.26700,1.26730,1.20410,1.22970
2012-06-29,1.23510,1.27470,1.22870,1.26600
2012-05-31,1.32400,1.32840,1.23350,1.23590
2012-04-30,1.33560,1.33800,1.29940,1.32410
2012-03-30,1.33180,1.33850,1.30010,1.33380
2012-02-29,1.30750,1.34850,1.29730,1.33230
2012-01-31,1.29370,1.32330,1.26240,1.30800
2011-12-30,1.34510,1.35480,1.28570,1.29560
2011-11-30,1.38510,1.39370,1.32110,1.34450
2011-10-31,1.33620,1.42460,1.31450,1.38570
2011-09-30,1.43630,1.44010,1.33620,1.33860
2011-08-31,1.43580,1.45480,1.40540,1.43790
2011-07-29,1.44730,1.45770,1.38370,1.43980
2011-06-30,1.44120,1.46960,1.40700,1.44910
2011-05-31,1.48260,1.49400,1.39660,1.43940
2011-04-29,1.41730,1.48820,1.40600,1.48090
2011-03-31,1.38220,1.42500,1.37410,1.41690
2011-02-28,1.36910,1.38610,1.34260,1.38040
2011-01-31,1.32850,1.37580,1.28700,1.36920
2010-12-31,1.30010,1.34970,1.29680,1.33850
2010-11-30,1.39630,1.42820,1.29660,1.29840
2010-10-29,1.36290,1.41570,1.36150,1.39440
2010-09-30,1.26880,1.36830,1.26410,1.36270
2010-08-31,1.30610,1.33340,1.25840,1.26880
2010-07-30,1.22330,1.31070,1.21910,1.30500
2010-06-30,1.23060,1.24670,1.18740,1.22340
2010-05-31,1.33270,1.33300,1.21410,1.23070
2010-04-30,1.35070,1.36920,1.31120,1.32900
2010-03-31,1.36300,1.38180,1.32680,1.35060
2010-02-26,1.38600,1.40260,1.34440,1.36260
2010-01-29,1.43230,1.45800,1.38620,1.38620
2009-12-31,1.50040,1.51410,1.42180,1.43240
2009-11-30,1.47180,1.51450,1.46270,1.50060
2009-10-30,1.46340,1.50630,1.44810,1.47300
2009-09-30,1.43290,1.48440,1.41770,1.46340
2009-08-31,1.42550,1.44490,1.40460,1.43310
2009-07-31,1.40340,1.43040,1.38320,1.42490
2009-06-30,1.41580,1.43400,1.37490,1.40310
2009-05-29,1.32230,1.41700,1.32110,1.41530
2009-04-30,1.32410,1.35820,1.28860,1.32230
2009-03-31,1.26690,1.37390,1.24570,1.32430
2009-02-27,1.28100,1.30940,1.25130,1.26720
2009-01-30,1.39680,1.40690,1.27640,1.28090
2008-12-31,1.26920,1.47190,1.25490,1.39710
