timestamp,open,high,low,close
2026-05-15 21:05:00,1.16250,1.16250,1.16250,1.16250
2026-05-15 21:00:00,1.16240,1.16250,1.16230,1.16230
2026-05-15 20:55:00,1.16250,1.16250,1.16230,1.16230
2026-05-15 20:50:00,1.16240,1.16240,1.16240,1.16240
2026-05-15 20:45:00,1.16230,1.16240,1.16230,1.16240
2026-05-15 20:40:00,1.16230,1.16240,1.16220,1.16240
2026-05-15 20:35:00,1.16210,1.16240,1.16200,1.16220
2026-05-15 20:30:00,1.16200,1.16220,1.16200,1.16200
2026-05-15 20:25:00,1.16220,1.16220,1.16200,1.16210
2026-05-15 20:20:00,1.16220,1.16220,1.16200,1.16210
2026-05-15 20:15:00,1.16210,1.16220,1.16200,1.16210
2026-05-15 20:10:00,1.16190,1.16220,1.16190,1.16200
2026-05-15 20:05:00,1.16200,1.16210,1.16180,1.16200
2026-05-15 20:00:00,1.16200,1.16210,1.16180,1.16210
2026-05-15 19:55:00,1.16200,1.16220,1.16190,1.16190
2026-05-15 19:50:00,1.16200,1.16210,1.16190,1.16210
2026-05-15 19:45:00,1.16210,1.16220,1.16190,1.16190
2026-05-15 19:40:00,1.16200,1.16220,1.16200,1.16220
2026-05-15 19:35:00,1.16200,1.16230,1.16200,1.16210
2026-05-15 19:30:00,1.16200,1.16210,1.16200,1.16210
2026-05-15 19:25:00,1.16210,1.16210,1.16200,1.16210
2026-05-15 19:20:00,1.16200,1.16210,1.16190,1.16200
2026-05-15 19:15:00,1.16200,1.16210,1.16190,1.16190
2026-05-15 19:10:00,1.16210,1.16210,1.16200,1.16210
2026-05-15 19:05:00,1.16220,1.16220,1.16200,1.16200
2026-05-15 19:00:00,1.16210,1.16230,1.16190,1.16210
2026-05-15 18:55:00,1.16210,1.16230,1.16210,1.16220
2026-05-15 18:50:00,1.16190,1.16210,1.16190,1.16200
2026-05-15 18:45:00,1.16180,1.16200,1.16170,1.16200
2026-05-15 18:40:00,1.16170,1.16190,1.16160,1.16190
2026-05-15 18:35:00,1.16200,1.16210,1.16170,1.16180
2026-05-15 18:30:00,1.16210,1.16230,1.16210,1.16210
2026-05-15 18:25:00,1.16200,1.16230,1.16200,1.16220
2026-05-15 18:20:00,1.16230,1.16240,1.16200,1.16210
2026-05-15 18:15:00,1.16240,1.16250,1.16230,1.16240
2026-05-15 18:10:00,1.16240,1.16250,1.16230,1.16230
2026-05-15 18:05:00,1.16270,1.16270,1.16240,1.16250
2026-05-15 18:00:00,1.16270,1.16280,1.16260,1.16260
2026-05-15 17:55:00,1.16280,1.16290,1.16270,1.16280
2026-05-15 17:50:00,1.16290,1.16300,1.16280,1.16290
2026-05-15 17:45:00,1.16290,1.16300,1.16280,1.16280
2026-05-15 17:40:00,1.16320,1.16320,1.16290,1.16300
2026-05-15 17:35:00,1.16310,1.16330,1.16310,1.16330
2026-05-15 17:30:00,1.16330,1.16350,1.16320,1.16320
2026-05-15 17:25:00,1.16320,1.16340,1.16310,1.16340
2026-05-15 17:20:00,1.16320,1.16330,1.16320,1.16330
2026-05-15 17:15:00,1.16300,1.16330,1.16300,1.16330
2026-05-15 17:10:00,1.16280,1.16310,1.16280,1.16310
2026-05-15 17:05:00,1.16290,1.16320,1.16280,1.16290
2026-05-15 17:00:00,1.16260,1.16300,1.16260,1.16300
2026-05-15 16:55:00,1.16280,1.16290,1.16260,1.16270
2026-05-15 16:50:00,1.16310,1.16310,1.16290,1.16290
2026-05-15 16:45:00,1.16310,1.16310,1.16280,1.16300
2026-05-15 16:40:00,1.16260,1.16300,1.16260,1.16300
2026-05-15 16:35:00,1.16280,1.16290,1.16270,1.16270
2026-05-15 16:30:00,1.16260,1.16270,1.16240,1.16270
2026-05-15 16:25:00,1.16240,1.16270,1.16240,1.16270
2026-05-15 16:20:00,1.16230,1.16250,1.16230,1.16250
2026-05-15 16:15:00,1.16260,1.16260,1.16220,1.16240
2026-05-15 16:10:00,1.16230,1.16250,1.16220,1.16250
2026-05-15 16:05:00,1.16270,1.16270,1.16220,1.16240
2026-05-15 16:00:00,1.16220,1.16260,1.16220,1.16260
2026-05-15 15:55:00,1.16200,1.16230,1.16200,1.16230
2026-05-15 15:50:00,1.16220,1.16240,1.16210,1.16210
2026-05-15 15:45:00,1.16240,1.16250,1.16210,1.16230
2026-05-15 15:40:00,1.16240,1.16260,1.16220,1.16230
2026-05-15 15:35:00,1.16230,1.16240,1.16220,1.16230
2026-05-15 15:30:00,1.16200,1.16220,1.16200,1.16220
2026-05-15 15:25:00,1.16240,1.16250,1.16210,1.16210
2026-05-15 15:20:00,1.16270,1.16290,1.16230,1.16230
2026-05-15 15:15:00,1.16290,1.16300,1.16260,1.16280
2026-05-15 15:10:00,1.16250,1.16280,1.16240,1.16280
2026-05-15 15:05:00,1.16300,1.16300,1.16240,1.16240
2026-05-15 15:00:00,1.16280,1.16300,1.16250,1.16290
2026-05-15 14:55:00,1.16240,1.16290,1.16230,1.16290
2026-05-15 14:50:00,1.16260,1.16270,1.16230,1.16250
2026-05-15 14:45:00,1.16270,1.16300,1.16260,1.16270
