time,FastD,FastK
2025-03-17,37.9613,75.1664
2025-03-14,19.8768,26.9277
2025-03-13,16.8061,11.7898
2025-03-12,31.2416,20.9129
2025-03-11,56.7695,17.7156
2025-03-10,58.4481,55.0962
2025-03-07,54.5401,97.4967
2025-03-06,40.9070,22.7513
2025-03-05,40.5055,43.3724
2025-03-04,37.4127,56.5974
2025-03-03,19.0563,21.5466
2025-02-28,16.3362,34.0942
2025-02-27,8.8977,1.5280
2025-02-26,22.2420,13.3863
2025-02-25,34.3537,11.7788
2025-02-24,62.6684,41.5608
2025-02-21,82.0400,49.7214
2025-02-20,96.5707,96.7228
2025-02-19,96.2032,99.6759
2025-02-18,96.0695,93.3134
2025-02-14,85.1586,95.6204
2025-02-13,68.5647,99.2748
2025-02-12,40.1565,60.5805
2025-02-11,21.1637,45.8387
2025-02-10,9.7266,14.0502
2025-02-07,34.0651,3.6023
2025-02-06,65.5635,11.5274
2025-02-05,93.9540,87.0657
2025-02-04,93.4195,98.0973
2025-02-03,91.2495,96.6989
2025-01-31,89.4423,85.4623
2025-01-30,88.7868,91.5872
2025-01-29,77.0488,91.2773
2025-01-28,67.5151,83.4959
2025-01-27,68.3491,56.3732
2025-01-24,69.0218,62.6761
2025-01-23,73.1817,85.9980
2025-01-22,74.4261,58.3913
2025-01-21,88.2130,75.1558
2025-01-17,80.7186,89.7312
2025-01-16,59.4576,99.7522
2025-01-15,33.5920,52.6725
2025-01-14,25.9562,25.9483
2025-01-13,37.7216,22.1553
2025-01-10,53.6051,29.7649
2025-01-08,68.7205,61.2446
2025-01-07,72.9879,69.8057
2025-01-06,59.7193,75.1111
2025-01-03,44.0515,74.0469
2025-01-02,30.5455,30.0000
2024-12-31,29.1252,28.1077
2024-12-30,38.9847,33.5287
2024-12-27,44.0217,25.7392
2024-12-26,41.6694,57.6862
2024-12-24,32.5316,48.6396
2024-12-23,25.7521,18.6824
2024-12-20,19.8613,30.2727
2024-12-19,19.7086,28.3012
2024-12-18,21.1493,1.0101
2024-12-17,29.5283,29.8146
2024-12-16,32.4617,32.6232
2024-12-13,28.2828,26.1472
2024-12-12,30.8802,38.6147
2024-12-11,26.7626,20.0866
2024-12-10,52.5198,33.9394
2024-12-09,69.1812,26.2618
2024-12-06,92.8807,97.3582
2024-12-05,86.3174,83.9237
2024-12-04,78.8357,97.3601
2024-12-03,69.3320,77.6683
2024-12-02,71.3400,61.4786
2024-11-29,83.9202,68.8490
2024-11-27,92.6062,83.6924
2024-11-26,91.5830,99.2191
2024-11-25,91.4303,94.9072
2024-11-22,92.0260,80.6229
2024-11-21,93.2171,98.7608
2024-11-20,75.2522,96.6942
2024-11-19,46.1995,84.1962
2024-11-18,28.3108,44.8661
2024-11-15,23.7980,9.5363
2024-11-14,31.9936,30.5300
2024-11-13,45.7763,31.3277
2024-11-12,59.7422,34.1232
2024-11-11,78.6102,71.8778
2024-11-08,85.7353,73.2255
2024-11-07,79.1105,90.7273
2024-11-06,58.3967,93.2532
2024-11-05,39.7142,53.3509
2024-11-04,28.9979,28.5860
2024-11-01,20.7197,37.2057
2024-10-31,9.1409,21.2021
2024-10-30,2.4127,3.7515
2024-10-29,1.6634,2.4691
2024-10-28,5.1671,1.0174
2024-10-25,31.9573,1.5036
2024-10-24,50.1443,12.9802
2024-10-23,53.1324,81.3880
2024-10-22,35.4012,56.0647
2024-10-21,28.3869,21.9444
2024-10-18,36.5569,28.1944
2024-10-17,43.9193,35.0217
2024-10-16,62.4216,46.4544
2024-10-15,72.3454,50.2818
2024-10-14,81.4605,90.5285
2024-10-11,83.2359,76.2257
2024-10-10,89.3767,77.6274
2024-10-09,95.2900,95.8546
2024-10-08,96.4125,94.6483
2024-10-07,92.4892,95.3673
2024-10-04,76.3929,99.2219
2024-10-03,57.2584,82.8784
2024-10-02,45.8815,47.0785
2024-10-01,47.4852,41.8182
2024-09-30,65.0273,48.7479
2024-09-27,80.3111,51.8895
2024-09-26,95.6702,94.4444
2024-09-25,97.1318,94.5993
2024-09-24,94.4456,97.9667
2024-09-23,75.6428,98.8293
2024-09-20,63.7399,86.5407
2024-09-19,58.2896,41.5584
2024-09-18,76.1290,63.1206
2024-09-17,85.4662,70.1899
2024-09-16,92.7994,95.0765
2024-09-13,93.7297,91.1323
2024-09-12,93.5110,92.1893
2024-09-11,83.9200,97.8674
2024-09-10,60.5773,90.4762
2024-09-09,49.1686,63.4165
2024-09-06,58.5508,27.8393
2024-09-05,67.8086,56.2500
2024-09-04,82.1793,91.5629
2024-09-03,73.9961,55.6129
2024-08-30,79.6415,99.3620
2024-08-29,75.6283,67.0134
2024-08-28,83.9761,72.5490
2024-08-27,78.6991,87.3226
2024-08-26,70.0132,92.0566
2024-08-23,71.7662,56.7182
2024-08-22,85.0985,61.2648
2024-08-21,93.8139,97.3154
2024-08-20,91.1573,96.7153
2024-08-19,90.3474,87.4109
2024-08-16,91.2135,89.3456
2024-08-15,87.5190,94.2856
2024-08-14,79.4976,90.0092
2024-08-13,79.6538,78.2623
2024-08-12,86.0867,70.2213
2024-08-09,76.7459,90.4779
2024-08-08,59.6427,97.5610
2024-08-07,31.0470,42.1987
2024-08-06,29.8623,39.1683
2024-08-05,24.1013,11.7740
2024-08-02,40.9795,38.6445
2024-08-01,48.1641,21.8853
2024-07-31,62.2275,62.4088
2024-07-30,63.5390,60.1982
2024-07-29,66.8365,64.0755
2024-07-26,54.6536,66.3433
2024-07-25,42.0693,70.0908
2024-07-24,28.4574,27.5266
2024-07-23,25.0443,28.5904
2024-07-22,35.9335,29.2553
2024-07-19,58.0722,17.2872
2024-07-18,83.4758,61.2580
