time,KAMA
2020-10-02,95.1613
2020-09-25,95.2905
2020-09-18,95.3351
2020-09-11,95.3603
2020-09-04,95.4249
2020-08-28,95.3923
2020-08-21,95.3986
2020-08-14,95.3757
2020-08-07,95.3650
2020-07-31,95.3789
2020-07-24,95.3884
2020-07-17,95.3829
2020-07-10,95.4062
2020-07-02,95.4395
2020-06-26,95.4680
2020-06-19,95.4910
2020-06-12,95.6536
2020-06-05,94.6383
2020-05-29,94.6296
2020-05-22,95.0109
2020-05-15,95.0338
2020-05-08,95.0704
2020-05-01,95.3155
2020-04-24,95.3797
2020-04-17,95.9643
2020-04-09,96.1592
2020-04-03,97.0041
2020-03-27,98.1351
2020-03-20,102.5098
2020-03-13,106.1685
2020-03-06,106.9290
2020-02-28,107.0431
2020-02-21,106.8537
2020-02-14,105.5791
2020-02-07,102.3449
2020-01-31,101.3721
2020-01-24,101.2471
2020-01-17,101.2389
2020-01-10,101.2467
2020-01-03,101.2778
2019-12-27,101.3455
2019-12-20,101.3711
2019-12-13,101.4385
2019-12-06,101.7071
2019-11-29,101.7892
2019-11-22,101.8988
2019-11-15,101.9692
2019-11-08,101.9739
2019-11-01,102.0348
2019-10-25,102.0516
2019-10-18,102.1263
2019-10-11,102.1102
2019-10-04,102.0321
2019-09-27,101.9593
2019-09-20,101.9527
2019-09-13,101.9204
2019-09-06,101.9079
2019-08-30,101.9478
2019-08-23,102.0255
2019-08-16,102.0600
2019-08-09,102.2001
2019-08-02,101.9480
2019-07-26,100.4008
2019-07-19,98.7371
2019-07-12,98.5163
2019-07-05,98.4307
2019-06-28,98.3966
2019-06-21,98.3477
2019-06-14,98.3579
2019-06-07,98.3944
2019-05-31,99.3025
2019-05-24,99.5987
2019-05-17,99.6229
2019-05-10,99.7446
2019-05-03,99.7542
2019-04-26,99.7554
2019-04-18,99.7523
2019-04-12,99.0561
2019-04-05,98.4380
2019-03-29,97.6138
2019-03-22,97.0480
2019-03-15,95.9319
2019-03-08,95.3925
2019-03-01,91.5181
2019-02-22,89.8859
2019-02-15,88.5275
2019-02-08,88.1692
2019-02-01,87.6677
2019-01-25,87.3841
2019-01-18,87.3846
2019-01-11,87.4257
2019-01-04,87.4459
2018-12-28,87.8434
2018-12-21,89.2282
2018-12-14,89.8834
2018-12-07,90.6229
2018-11-30,90.8052
2018-11-23,92.0566
2018-11-16,92.8266
2018-11-09,93.4226
2018-11-02,97.5955
2018-10-26,101.7360
2018-10-19,103.2173
2018-10-12,103.4325
2018-10-05,103.4069
2018-09-28,103.0295
2018-09-21,102.6559
2018-09-14,102.4901
2018-09-07,102.4976
2018-08-31,102.5424
2018-08-24,102.5372
2018-08-17,102.5396
2018-08-10,102.5780
2018-08-03,102.6081
2018-07-27,102.6198
2018-07-20,102.6381
2018-07-13,102.6777
2018-07-06,102.7469
2018-06-29,103.0544
2018-06-22,103.9047
2018-06-15,104.0240
2018-06-08,104.0872
2018-06-01,104.3240
2018-05-25,104.8704
2018-05-18,105.2327
2018-05-11,105.4031
2018-05-04,105.7860
