time,WMA
2021-05-28,112.6007
2021-05-21,111.2679
2021-05-14,109.6934
2021-05-07,107.5316
2021-04-30,105.5284
2021-04-23,103.4049
2021-04-16,102.3684
2021-04-09,100.8875
2021-04-01,99.3688
2021-03-26,97.3927
2021-03-19,96.4600
2021-03-12,95.5807
2021-03-05,95.3954
2021-02-26,95.6182
2021-02-19,96.1813
2021-02-12,96.5743
2021-02-05,96.8655
2021-01-29,97.5075
2021-01-22,98.3044
2021-01-15,97.4473
2021-01-08,96.5396
2020-12-31,95.7455
2020-12-24,95.0569
2020-12-18,94.5615
2020-12-11,93.8012
2020-12-04,92.7670
2020-11-27,91.9968
2020-11-20,92.2188
2020-11-13,92.3480
2020-11-06,92.6166
2020-10-30,94.0054
2020-10-23,95.2935
2020-10-16,94.8345
2020-10-09,94.1116
2020-10-02,94.2801
2020-09-25,94.6805
2020-09-18,95.0621
2020-09-11,95.1433
2020-09-04,95.1728
2020-08-28,94.7041
2020-08-21,94.3539
2020-08-14,93.8739
2020-08-07,93.3366
2020-07-31,93.2601
2020-07-24,92.9270
2020-07-17,92.3680
2020-07-10,92.6698
2020-07-02,92.8052
2020-06-26,93.3865
2020-06-19,93.3669
2020-06-12,93.6098
2020-06-05,91.6924
2020-05-29,90.3967
2020-05-22,89.2224
2020-05-15,88.2261
2020-05-08,87.0628
2020-05-01,86.5940
2020-04-24,85.8095
2020-04-17,86.3593
2020-04-09,86.8589
2020-04-03,89.2596
2020-03-27,92.3536
2020-03-20,97.8237
2020-03-13,103.2942
2020-03-06,105.9305
2020-02-28,107.1730
2020-02-21,106.2408
2020-02-14,104.4823
2020-02-07,102.0190
2020-01-31,100.8175
2020-01-24,100.3348
2020-01-17,99.9368
2020-01-10,99.8420
2020-01-03,100.0384
2019-12-27,99.9390
2019-12-20,99.8272
2019-12-13,99.9050
2019-12-06,100.3147
2019-11-29,100.6448
2019-11-22,101.0590
2019-11-15,101.5588
2019-11-08,101.6148
2019-11-01,101.9446
2019-10-25,102.2915
2019-10-18,103.1309
2019-10-11,102.6910
2019-10-04,102.3527
2019-09-27,101.8813
2019-09-20,101.7493
2019-09-13,101.3930
2019-09-06,101.2649
2019-08-30,101.9386
2019-08-23,103.1560
2019-08-16,103.8357
2019-08-09,104.2781
2019-08-02,103.5298
2019-07-26,101.7423
2019-07-19,99.8575
2019-07-12,98.8486
2019-07-05,98.0354
2019-06-28,97.3891
2019-06-21,96.8415
2019-06-14,96.8742
2019-06-07,97.1118
2019-05-31,98.4445
2019-05-24,99.1942
2019-05-17,99.7711
2019-05-10,100.4476
2019-05-03,100.7003
2019-04-26,100.8249
2019-04-18,100.8476
2019-04-12,100.0664
2019-04-05,99.3155
2019-03-29,98.5054
2019-03-22,97.7545
2019-03-15,96.5948
2019-03-08,95.6171
2019-03-01,93.7154
2019-02-22,91.5219
2019-02-15,89.3600
2019-02-08,87.5251
2019-02-01,85.7273
2019-01-25,83.9003
2019-01-18,83.3369
2019-01-11,83.0570
2019-01-04,83.1689
2018-12-28,84.0055
2018-12-21,85.6530
2018-12-14,86.4752
2018-12-07,87.5980
2018-11-30,88.2606
2018-11-23,90.2255
2018-11-16,92.0685
2018-11-09,93.9365
2018-11-02,97.3364
2018-10-26,100.6680
2018-10-19,102.8837
2018-10-12,103.7904
2018-10-05,103.5987
2018-09-28,102.9110
2018-09-21,102.2120
2018-09-14,101.7572
2018-09-07,101.4116
2018-08-31,101.0548
2018-08-24,100.5213
2018-08-17,100.0434
2018-08-10,99.8046
2018-08-03,99.3549
2018-07-27,99.1772
2018-07-20,98.7812
2018-07-13,98.4298
2018-07-06,98.4993
2018-06-29,99.1755
2018-06-22,99.7846
2018-06-15,99.9937
2018-06-08,99.9595
2018-06-01,100.5597
2018-05-25,101.3250
2018-05-18,101.9489
2018-05-11,102.7334
2018-05-04,103.9209
2018-04-27,104.8638
2018-04-20,106.1073
2018-04-13,105.7184
2018-04-06,106.2728
2018-03-29,106.7170
2018-03-23,107.5782
2018-03-16,107.3988
2018-03-09,107.1449
2018-03-02,107.5382
2018-02-23,107.6724
2018-02-16,107.7795
2018-02-09,108.5344
2018-02-02,108.5460
2018-01-26,107.1740
2018-01-19,106.3776
2018-01-12,104.9569
2018-01-05,103.7083
2017-12-29,103.5372
2017-12-22,103.5280
2017-12-15,103.3052
2017-12-08,102.7543
2017-12-01,101.9697
2017-11-24,101.5226
2017-11-17,101.1455
2017-11-10,100.9013
2017-11-03,100.3926
