time,TEMA
2021-05-28,117.7218
2021-05-21,116.9265
2021-05-14,115.7521
2021-05-07,112.9533
2021-04-30,110.4388
2021-04-23,107.1949
2021-04-16,106.8533
2021-04-09,105.3742
2021-04-01,103.7093
2021-03-26,99.8320
2021-03-19,97.9616
2021-03-12,95.5340
2021-03-05,94.4848
2021-02-26,94.3707
2021-02-19,95.2258
2021-02-12,95.6440
2021-02-05,95.8270
2021-01-29,97.5244
2021-01-22,100.5803
2021-01-15,99.4790
2021-01-08,98.4289
2020-12-31,97.8707
2020-12-24,97.3389
2020-12-18,97.0472
2020-12-11,95.8164
2020-12-04,93.3199
2020-11-27,90.8753
2020-11-20,90.8058
2020-11-13,90.3247
2020-11-06,89.9310
2020-10-30,93.0068
2020-10-23,96.6601
2020-10-16,95.6489
2020-10-09,93.4683
2020-10-02,93.4707
2020-09-25,94.1481
2020-09-18,95.1968
2020-09-11,95.7508
2020-09-04,96.6221
2020-08-28,96.2411
2020-08-21,96.3493
2020-08-14,95.6677
2020-08-07,94.4926
2020-07-31,94.5033
2020-07-24,93.7652
2020-07-17,92.0144
2020-07-10,92.6152
2020-07-02,92.7357
2020-06-26,94.5435
2020-06-19,95.0311
2020-06-12,97.1308
2020-06-05,93.4277
2020-05-29,91.7508
2020-05-22,90.9316
2020-05-15,90.4288
2020-05-08,88.7142
2020-05-01,87.5606
2020-04-24,83.5997
2020-04-17,81.2083
2020-04-09,76.7941
2020-04-03,76.4508
2020-03-27,77.6777
2020-03-20,86.8678
2020-03-13,99.1609
2020-03-06,106.3423
2020-02-28,111.5719
2020-02-21,111.6767
2020-02-14,109.4325
2020-02-07,104.3102
2020-01-31,101.7693
2020-01-24,100.8295
2020-01-17,99.7716
2020-01-10,99.3808
2020-01-03,99.8539
2019-12-27,99.6918
2019-12-20,99.1947
2019-12-13,98.9245
2019-12-06,99.3734
2019-11-29,99.5466
2019-11-22,99.8486
2019-11-15,100.4322
2019-11-08,99.9016
2019-11-01,100.4410
2019-10-25,101.4072
2019-10-18,104.5188
2019-10-11,104.3056
2019-10-04,103.9547
2019-09-27,102.6597
2019-09-20,101.9626
2019-09-13,100.2520
2019-09-06,98.7273
2019-08-30,99.3662
2019-08-23,102.2351
2019-08-16,104.5829
2019-08-09,107.5801
2019-08-02,108.0697
2019-07-26,105.6079
2019-07-19,102.2606
2019-07-12,100.7379
2019-07-05,99.3129
2019-06-28,97.8764
2019-06-21,95.9526
2019-06-14,95.0137
2019-06-07,94.2066
2019-05-31,96.6553
2019-05-24,97.8952
2019-05-17,99.0747
2019-05-10,100.9269
2019-05-03,101.9555
2019-04-26,102.9568
2019-04-18,104.1481
2019-04-12,103.3131
2019-04-05,102.5235
2019-03-29,101.8567
2019-03-22,101.8102
2019-03-15,101.1123
2019-03-08,101.6237
2019-03-01,100.1651
2019-02-22,97.6934
2019-02-15,94.8162
2019-02-08,92.0306
2019-02-01,88.6337
2019-01-25,83.9812
2019-01-18,81.8019
2019-01-11,80.0377
2019-01-04,79.0632
2018-12-28,79.8597
2018-12-21,82.9317
2018-12-14,83.3609
2018-12-07,83.9252
2018-11-30,82.2246
2018-11-23,83.5146
2018-11-16,84.2379
2018-11-09,84.8061
2018-11-02,90.2389
2018-10-26,97.0420
2018-10-19,102.4386
2018-10-12,105.3573
2018-10-05,105.7847
2018-09-28,104.8034
2018-09-21,103.5404
2018-09-14,102.8425
2018-09-07,102.6074
2018-08-31,102.4861
2018-08-24,101.7931
2018-08-17,100.9840
2018-08-10,100.7914
2018-08-03,99.9068
2018-07-27,99.5875
2018-07-20,98.4071
2018-07-13,97.0232
2018-07-06,96.4940
2018-06-29,97.8206
2018-06-22,98.8964
2018-06-15,98.8195
2018-06-08,97.6751
2018-06-01,98.1200
2018-05-25,98.8156
2018-05-18,98.8695
2018-05-11,99.3311
2018-05-04,101.1175
2018-04-27,102.5806
2018-04-20,105.6775
2018-04-13,104.3602
2018-04-06,105.3079
2018-03-29,106.0484
2018-03-23,108.1386
2018-03-16,107.3115
2018-03-09,106.1099
2018-03-02,106.8723
2018-02-23,107.2193
2018-02-16,107.7198
2018-02-09,110.6466
2018-02-02,112.3633
2018-01-26,110.3745
2018-01-19,109.9508
2018-01-12,107.5227
2018-01-05,104.9096
2017-12-29,104.6647
2017-12-22,105.1226
2017-12-15,105.2877
2017-12-08,104.7050
2017-12-01,103.4102
2017-11-24,103.0342
2017-11-17,103.0236
2017-11-10,103.6941
2017-11-03,103.9144
2017-10-27,103.1875
2017-10-20,98.2533
2017-10-13,97.5783
2017-10-06,96.8956
2017-09-29,96.4163
2017-09-22,95.8450
2017-09-15,95.1986
2017-09-08,94.9005
2017-09-01,94.5895
2017-08-25,93.9956
2017-08-18,95.3153
2017-08-11,96.3448
2017-08-04,97.3522
2017-07-28,99.2574
2017-07-21,101.0178
2017-07-14,100.7743
2017-07-07,100.8115
2017-06-30,100.6794
2017-06-23,100.1151
2017-06-16,99.0954
2017-06-09,98.3952
2017-06-02,98.6797
