time,EMA
2021-12-03,103.5926
2021-11-26,104.4196
2021-11-19,105.9206
2021-11-12,107.0928
2021-11-05,108.0044
2021-10-29,109.9372
2021-10-22,111.8618
2021-10-15,111.3075
2021-10-08,110.7184
2021-10-01,110.1324
2021-09-24,110.2597
2021-09-17,111.1318
2021-09-10,111.4036
2021-09-03,111.5153
2021-08-27,111.6781
2021-08-20,111.8560
2021-08-13,111.4364
2021-08-06,111.1053
2021-07-30,111.1194
2021-07-23,111.1472
2021-07-16,112.0429
2021-07-09,112.2689
2021-07-02,112.7963
2021-06-25,112.2163
2021-06-18,112.0132
2021-06-11,110.6138
2021-06-04,109.4545
2021-05-28,108.4826
2021-05-21,107.2841
2021-05-14,105.9275
2021-05-07,104.0322
2021-04-30,102.3426
2021-04-23,100.5172
2021-04-16,99.8078
2021-04-09,98.6957
2021-04-01,97.5745
2021-03-26,95.8005
2021-03-19,94.9226
2021-03-12,93.9756
2021-03-05,93.6427
2021-02-26,93.6913
2021-02-19,94.0697
2021-02-12,94.2477
2021-02-05,94.3177
2021-01-29,94.8664
2021-01-22,95.7306
2021-01-15,94.9964
2021-01-08,94.3255
2020-12-31,93.8630
2020-12-24,93.4254
2020-12-18,93.0829
2020-12-11,92.4345
2020-12-04,91.4428
2020-11-27,90.6376
2020-11-20,90.7889
2020-11-13,90.8257
2020-11-06,90.9423
2020-10-30,92.2418
2020-10-23,93.5280
2020-10-16,93.0268
2020-10-09,92.2011
2020-10-02,92.2377
2020-09-25,92.4956
2020-09-18,92.8260
2020-09-11,92.9141
2020-09-04,93.0555
2020-08-28,92.7095
2020-08-21,92.5318
2020-08-14,92.0694
2020-08-07,91.4758
2020-07-31,91.3395
2020-07-24,90.9476
2020-07-17,90.2681
2020-07-10,90.4798
2020-07-02,90.4950
2020-06-26,91.0555
2020-06-19,91.0544
2020-06-12,91.5387
2020-06-05,89.9631
2020-05-29,89.3018
2020-05-22,89.0469
2020-05-15,88.9707
2020-05-08,88.5578
2020-05-01,88.4828
2020-04-24,87.6160
2020-04-17,87.6047
2020-04-09,87.1855
2020-04-03,88.5173
2020-03-27,90.5147
2020-03-20,95.1616
2020-03-13,100.2852
2020-03-06,102.9242
2020-02-28,104.4181
2020-02-21,103.8307
2020-02-14,102.4129
2020-02-07,100.1601
2020-01-31,99.0789
2020-01-24,98.6877
2020-01-17,98.3213
2020-01-10,98.2504
2020-01-03,98.4971
2019-12-27,98.5106
2019-12-20,98.4333
2019-12-13,98.4747
2019-12-06,98.7825
2019-11-29,98.9808
2019-11-22,99.2199
2019-11-15,99.5396
2019-11-08,99.4611
2019-11-01,99.7769
2019-10-25,100.2013
2019-10-18,101.2620
2019-10-11,101.0074
2019-10-04,100.7041
2019-09-27,100.0983
2019-09-20,99.7641
2019-09-13,99.1366
2019-09-06,98.6846
2019-08-30,99.0502
2019-08-23,100.1046
2019-08-16,100.7808
2019-08-09,101.4826
2019-08-02,101.1150
2019-07-26,99.6967
2019-07-19,98.1133
2019-07-12,97.3273
2019-07-05,96.6576
2019-06-28,96.0682
2019-06-21,95.4112
2019-06-14,95.2104
2019-06-07,95.1246
2019-05-31,96.1707
2019-05-24,96.6541
2019-05-17,97.0235
2019-05-10,97.5146
2019-05-03,97.5799
2019-04-26,97.5268
2019-04-18,97.4198
2019-04-12,96.5110
2019-04-05,95.6158
2019-03-29,94.7577
2019-03-22,94.0915
2019-03-15,93.1570
2019-03-08,92.6085
2019-03-01,91.3195
2019-02-22,89.7424
2019-02-15,88.1570
2019-02-08,86.7692
2019-02-01,85.3591
2019-01-25,83.7776
2019-01-18,83.3579
2019-01-11,83.2755
2019-01-04,83.6397
2018-12-28,84.7285
2018-12-21,86.5890
2018-12-14,87.4470
2018-12-07,88.3923
2018-11-30,88.6320
2018-11-23,90.0522
2018-11-16,91.2845
2018-11-09,92.5021
2018-11-02,95.3579
2018-10-26,98.3545
2018-10-19,100.4557
2018-10-12,101.3774
2018-10-05,101.2660
2018-09-28,100.6404
2018-09-21,99.9688
2018-09-14,99.5535
2018-09-07,99.3265
2018-08-31,99.1435
2018-08-24,98.7734
2018-08-17,98.4081
2018-08-10,98.3000
2018-08-03,97.9814
2018-07-27,97.9162
2018-07-20,97.6027
2018-07-13,97.3222
2018-07-06,97.4438
2018-06-29,98.2426
2018-06-22,98.8990
2018-06-15,99.1313
2018-06-08,99.0472
2018-06-01,99.5959
2018-05-25,100.2318
2018-05-18,100.6441
2018-05-11,101.2205
2018-05-04,102.2322
2018-04-27,103.0422
2018-04-20,104.3051
2018-04-13,103.9154
2018-04-06,104.3624
2018-03-29,104.6791
2018-03-23,105.3839
2018-03-16,104.9773
2018-03-09,104.4907
2018-03-02,104.7195
2018-02-23,104.7471
2018-02-16,104.7837
2018-02-09,105.5580
2018-02-02,105.6986
2018-01-26,104.4586
2018-01-19,103.8202
2018-01-12,102.5098
2018-01-05,101.2686
2017-12-29,100.9566
2017-12-22,100.8691
2017-12-15,100.6293
2017-12-08,100.1058
2017-12-01,99.3626
2017-11-24,98.9874
2017-11-17,98.7385
2017-11-10,98.6941
2017-11-03,98.4346
2017-10-27,97.8265
2017-10-20,95.8711
2017-10-13,95.6495
2017-10-06,95.4840
2017-09-29,95.4499
2017-09-22,95.4418
2017-09-15,95.4773
2017-09-08,95.7063
2017-09-01,95.9921
2017-08-25,96.2522
2017-08-18,97.2310
2017-08-11,98.0749
2017-08-04,98.8892
2017-07-28,99.9741
2017-07-21,100.9210
2017-07-14,101.1248
2017-07-07,101.4723
2017-06-30,101.8001
2017-06-23,102.0372
2017-06-16,102.2113
2017-06-09,102.6150
2017-06-02,103.4514
2017-05-26,104.4548
2017-05-19,105.6595
2017-05-12,107.3460
2017-05-05,109.0920
2017-04-28,110.4016
2017-04-21,111.8247
2017-04-13,112.3517
2017-04-07,112.5976
2017-03-31,112.7133
2017-03-24,113.0165
2017-03-17,112.9631
2017-03-10,112.5825
2017-03-03,111.8494
2017-02-24,110.7428
2017-02-17,109.4748
2017-02-10,108.1198
2017-02-03,107.2250
2017-01-27,105.8939
2017-01-20,105.2478
2017-01-13,104.9401
2017-01-06,104.1689
2016-12-30,103.5773
2016-12-23,102.8572
2016-12-16,101.9984
2016-12-09,100.9643
2016-12-02,100.5349
2016-11-25,99.6761
2016-11-18,98.9831
2016-11-11,98.0566
2016-11-04,98.1520
2016-10-28,98.4419
2016-10-21,99.1287
2016-10-14,99.3975
2016-10-07,99.4077
2016-09-30,99.2299
2016-09-23,99.5198
2016-09-16,99.8164
2016-09-09,100.1240
2016-09-02,99.8489
2016-08-26,99.6607
2016-08-19,99.2659
2016-08-12,98.4452
2016-08-05,97.3956
2016-07-29,96.5996
2016-07-22,95.4383
2016-07-15,94.3959
2016-07-08,93.7785
2016-07-01,93.5001
2016-06-24,93.8597
2016-06-17,93.4024
2016-06-10,92.9790
2016-06-03,92.2576
2016-05-27,91.4499
2016-05-20,91.1541
2016-05-13,90.7870
2016-05-06,90.3313
2016-04-29,90.1264
2016-04-22,89.6545
2016-04-15,88.5811
2016-04-08,87.4753
2016-04-01,85.8359
2016-03-24,84.4673
2016-03-18,82.8569
2016-03-11,81.6205
2016-03-04,80.7638
2016-02-26,80.4473
2016-02-19,79.8060
2016-02-12,80.6838
2016-02-05,81.1797
2016-01-29,82.1816
2016-01-22,83.7212
2016-01-15,84.5059
2016-01-08,85.2321
2015-12-31,85.6006
2015-12-24,85.7579
2015-12-18,86.2117
2015-12-11,86.8376
2015-12-04,86.9384
2015-11-27,87.2738
2015-11-20,87.6947
2015-11-13,89.1323
2015-11-06,90.0497
2015-10-30,90.9970
2015-10-23,91.5781
2015-10-16,91.5963
2015-10-09,91.2725
2015-10-02,91.7696
2015-09-25,92.5672
2015-09-18,93.4103
2015-09-11,94.1722
2015-09-04,95.3083
2015-08-28,96.5069
2015-08-21,98.4860
2015-08-14,99.3134
2015-08-07,100.1117
2015-07-31,100.5993
2015-07-24,101.5586
2015-07-17,100.8755
2015-07-10,100.6945
2015-07-02,101.0251
2015-06-26,101.4170
2015-06-19,101.3940
2015-06-12,101.6782
2015-06-05,101.7779
2015-05-29,101.4906
2015-05-22,100.8838
2015-05-15,99.9633
2015-05-08,98.9444
2015-05-01,97.6324
2015-04-24,96.5069
2015-04-17,96.3052
2015-04-10,96.0226
2015-04-02,96.0350
2015-03-27,95.8339
2015-03-20,95.3931
2015-03-13,95.8854
2015-03-06,96.0664
2015-02-27,95.8228
2015-02-20,95.1846
2015-02-13,95.0028
2015-02-06,95.2815
2015-01-30,96.0325
2015-01-23,96.3854
2015-01-16,97.0237
2015-01-09,97.4987
2015-01-02,97.7784
2014-12-26,98.0233
2014-12-19,98.8094
2014-12-12,100.0884
2014-12-05,100.6756
2014-11-28,101.6121
2014-11-21,102.7700
2014-11-14,103.8378
2014-11-07,105.4426
2014-10-31,107.2397
2014-10-24,109.7325
2014-10-17,112.1411
2014-10-10,112.6291
2014-10-03,112.6724
2014-09-26,112.8806
2014-09-19,112.4489
2014-09-12,112.2242
2014-09-05,112.0379
2014-08-29,111.5559
2014-08-22,111.1367
2014-08-15,111.0578
2014-08-08,110.9994
2014-08-01,110.8719
2014-07-25,110.0680
2014-07-18,109.4782
2014-07-11,109.1174
2014-07-03,108.7995
2014-06-27,109.2333
2014-06-20,109.6863
2014-06-13,110.1770
2014-06-06,110.2766
2014-05-30,110.5896
2014-05-23,110.9668
2014-05-16,111.1909
2014-05-09,110.8741
2014-05-02,110.6408
2014-04-25,110.3438
2014-04-17,110.1553
2014-04-11,109.0864
2014-04-04,108.3686
2014-03-28,107.5015
2014-03-21,106.9900
2014-03-14,106.9857
2014-03-07,106.3438
2014-02-28,106.1087
2014-02-21,105.8878
2014-02-14,105.5709
2014-02-07,105.9920
2014-01-31,106.7544
2014-01-24,107.2220
2014-01-17,106.4177
2014-01-10,105.9487
2014-01-03,105.2603
2013-12-27,104.6559
2013-12-20,104.4700
2013-12-13,105.2567
2013-12-06,105.6006
2013-11-29,105.8305
2013-11-22,106.0093
2013-11-15,105.8043
2013-11-08,105.9850
2013-11-01,106.3663
2013-10-25,107.2006
2013-10-18,108.5578
2013-10-11,108.8011
2013-10-04,109.5570
2013-09-27,110.0030
2013-09-20,109.9685
2013-09-13,109.4575
2013-09-06,110.1236
2013-08-30,110.9441
2013-08-23,111.7357
2013-08-16,112.6994
2013-08-09,113.6621
2013-08-02,113.9099
2013-07-26,113.9987
2013-07-19,114.5469
2013-07-12,115.3424
2013-07-05,115.9072
2013-06-28,117.0397
2013-06-21,118.1880
2013-06-14,118.3805
2013-06-07,118.1633
2013-05-31,117.7338
2013-05-24,117.3127
2013-05-17,116.7237
2013-05-10,116.4959
2013-05-03,116.3880
2013-04-26,117.4055
2013-04-19,119.1122
2013-04-12,118.7374
2013-04-05,118.4541
2013-03-28,117.6321
2013-03-22,116.6606
2013-03-15,115.4272
2013-03-08,114.2846
2013-03-01,113.8384
2013-02-22,113.4104
2013-02-15,113.0238
2013-02-08,112.5028
2013-02-01,111.5663
2013-01-25,110.3378
2013-01-18,110.1687
2013-01-11,110.1577
2013-01-04,110.0706
2012-12-28,110.4939
2012-12-21,110.5260
2012-12-14,110.7290
2012-12-07,110.9251
2012-11-30,111.3439
2012-11-23,111.6410
2012-11-16,112.4907
2012-11-09,113.3501
2012-11-02,114.2127
2012-10-26,114.9585
2012-10-19,116.0078
2012-10-12,115.3718
2012-10-05,114.4503
2012-09-28,113.5782
2012-09-21,112.8905
2012-09-14,111.9829
2012-09-07,111.6527
2012-08-31,111.6006
2012-08-24,111.3662
2012-08-17,110.7345
2012-08-10,110.1913
2012-08-03,109.6495
2012-07-27,109.2945
2012-07-20,109.6842
2012-07-13,110.6894
2012-07-06,111.2657
2012-06-29,111.2648
2012-06-22,111.7523
2012-06-15,111.7072
2012-06-08,111.7743
2012-06-01,112.8963
2012-05-25,113.4014
2012-05-18,113.9230
2012-05-11,114.0644
2012-05-04,113.8363
2012-04-27,113.2127
2012-04-20,113.5565
2012-04-13,113.1178
2012-04-05,112.6242
2012-03-30,111.4492
2012-03-23,110.3277
2012-03-16,109.0498
2012-03-09,108.0874
2012-03-02,107.2333
2012-02-24,106.3876
2012-02-17,105.7364
2012-02-10,104.9931
2012-02-03,104.2822
2012-01-27,103.7993
2012-01-20,103.3940
2012-01-13,103.8416
2012-01-06,104.1589
2011-12-30,103.9809
2011-12-23,103.9831
2011-12-16,104.0433
2011-12-09,102.9764
2011-12-02,101.9797
2011-11-25,101.8196
2011-11-18,101.5414
2011-11-11,100.4769
2011-11-04,99.6371
2011-10-28,98.6891
2011-10-21,98.0380
2011-10-14,96.2221
2011-10-07,94.8374
2011-09-30,94.2200
2011-09-23,93.8883
2011-09-16,93.6645
2011-09-09,94.6178
2011-09-02,95.3574
2011-08-26,95.3257
2011-08-19,96.4354
2011-08-12,96.5512
2011-08-05,97.0026
2011-07-29,95.9432
2011-07-22,94.4886
2011-07-15,93.8452
2011-07-08,93.0378
2011-07-01,92.2219
2011-06-24,92.1882
2011-06-17,92.3998
2011-06-10,92.5667
2011-06-03,92.7310
2011-05-27,92.4761
2011-05-20,92.1473
2011-05-13,91.5929
2011-05-06,91.0913
2011-04-29,90.1117
2011-04-21,89.4644
2011-04-15,89.0444
2011-04-08,88.6790
2011-04-01,88.1116
2011-03-25,87.7732
2011-03-18,87.8405
2011-03-11,87.4887
2011-03-04,87.0045
2011-02-25,86.3189
2011-02-18,85.3318
2011-02-11,84.0502
2011-02-04,82.5749
2011-01-28,81.3737
2011-01-21,80.3673
2011-01-14,79.8251
2011-01-07,79.4376
2010-12-31,79.0094
2010-12-23,78.7427
2010-12-17,78.3836
2010-12-10,77.9755
2010-12-03,77.5503
2010-11-26,77.1547
2010-11-19,76.6134
2010-11-12,75.9654
2010-11-05,74.9940
2010-10-29,74.0948
2010-10-22,73.3894
2010-10-15,72.4687
2010-10-08,71.6013
2010-10-01,70.9765
2010-09-24,70.4232
2010-09-17,70.1468
2010-09-10,70.0059
2010-09-03,70.0342
2010-08-27,70.3023
2010-08-20,70.3255
2010-08-13,70.3661
2010-08-06,70.0098
2010-07-30,69.8411
2010-07-23,69.7652
2010-07-16,69.6127
2010-07-09,69.5846
2010-07-02,70.0113
2010-06-25,70.0377
2010-06-18,69.6111
2010-06-11,69.4452
2010-06-04,69.5988
2010-05-28,69.8936
2010-05-21,70.1846
2010-05-14,69.8808
2010-05-07,70.0461
2010-04-30,69.9506
2010-04-23,69.7891
2010-04-16,69.5167
2010-04-09,69.4029
2010-04-01,69.2867
2010-03-26,69.0334
2010-03-19,68.9888
2010-03-12,68.8992
2010-03-05,68.8309
2010-02-26,68.6942
2010-02-19,68.5513
2010-02-12,68.6658
2010-02-05,69.0189
2010-01-29,69.5078
2010-01-22,69.7318
2010-01-15,69.3669
2010-01-08,68.9896
2009-12-31,68.5140
2009-12-24,67.9556
2009-12-18,67.6576
2009-12-11,67.0703
2009-12-04,66.6864
2009-11-27,66.4291
2009-11-20,65.8039
2009-11-13,65.1035
2009-11-06,64.6392
2009-10-30,64.5349
2009-10-23,64.4075
2009-10-16,64.1138
2009-10-09,63.3133
2009-10-02,63.1196
2009-09-25,62.6884
2009-09-18,62.1002
2009-09-11,61.8648
2009-09-04,61.4643
2009-08-28,61.0756
2009-08-21,60.2622
2009-08-14,59.6555
2009-08-07,58.7365
2009-07-31,57.5946
2009-07-24,56.4293
2009-07-17,55.2941
2009-07-10,55.4886
2009-07-02,55.6918
2009-06-26,55.4124
2009-06-19,55.1675
2009-06-12,54.5758
2009-06-05,53.9707
2009-05-29,53.1954
2009-05-22,52.9188
2009-05-15,52.4995
2009-05-08,52.0957
2009-05-01,51.1701
2009-04-24,50.7098
2009-04-17,50.0664
2009-04-09,49.2813
2009-04-03,48.2481
2009-03-27,48.0423
2009-03-20,47.5890
2009-03-13,47.3152
2009-03-06,47.7692
2009-02-27,47.5557
2009-02-20,47.5168
2009-02-13,47.1806
2009-02-06,46.2709
2009-01-30,45.8477
2009-01-23,45.4286
2009-01-16,45.5084
2009-01-09,45.6283
2009-01-02,45.5563
2008-12-26,46.0237
2008-12-19,46.4118
2008-12-12,46.9759
2008-12-05,47.6583
2008-11-28,48.6837
2008-11-21,50.5526
2008-11-14,52.4044
2008-11-07,53.6527
2008-10-31,54.6928
2008-10-24,57.4172
2008-10-17,59.3444
2008-10-10,61.9078
2008-10-03,63.7757
2008-09-26,64.1520
2008-09-19,64.4933
2008-09-12,65.2735
2008-09-05,65.9168
2008-08-29,66.1311
2008-08-22,66.2039
2008-08-15,66.0567
2008-08-08,65.6489
2008-08-01,65.4029
2008-07-25,64.9946
2008-07-18,64.2451
2008-07-11,64.2688
2008-07-03,64.5528
2008-06-27,64.8566
2008-06-20,64.8757
2008-06-13,64.6112
2008-06-06,64.2973
2008-05-30,63.5286
2008-05-23,63.1344
2008-05-16,62.2231
2008-05-09,61.5634
2008-05-02,60.9364
2008-04-25,60.1445
2008-04-18,59.2849
2008-04-11,58.9161
2008-04-04,58.4456
2008-03-28,58.1526
2008-03-20,57.2560
2008-03-14,56.8093
2008-03-07,56.2494
2008-02-29,55.4520
2008-02-22,55.2246
2008-02-15,55.0502
2008-02-08,55.2906
2008-02-01,54.9919
2008-01-25,55.0900
2008-01-18,55.8196
2008-01-11,56.0332
2008-01-04,56.8336
2007-12-28,56.7791
2007-12-21,56.4861
2007-12-14,56.8048
2007-12-07,56.7730
2007-11-30,57.1462
2007-11-23,57.7242
2007-11-16,58.4377
2007-11-09,59.5943
2007-11-02,59.5208
2007-10-26,59.5711
2007-10-19,59.9715
2007-10-12,59.6533
2007-10-05,59.4785
2007-09-28,59.0902
2007-09-21,58.6976
2007-09-14,58.4724
2007-09-07,58.0294
2007-08-31,57.4659
2007-08-24,57.1636
2007-08-17,57.0371
2007-08-10,56.6407
2007-08-03,56.3199
2007-07-27,55.5071
2007-07-20,54.5989
2007-07-13,54.2163
2007-07-06,53.7302
2007-06-29,53.5212
2007-06-22,53.3417
2007-06-15,53.0602
2007-06-08,52.9927
2007-06-01,52.4918
2007-05-25,51.9868
2007-05-18,51.1874
2007-05-11,50.3649
2007-05-04,49.7569
2007-04-27,49.2032
2007-04-20,49.1879
2007-04-13,49.2106
2007-04-05,49.0730
2007-03-30,49.1252
2007-03-23,49.1512
2007-03-16,49.2851
2007-03-09,49.5246
2007-03-02,50.1664
2007-02-23,50.0769
2007-02-16,49.8757
2007-02-09,49.6137
2007-02-02,49.2852
2007-01-26,49.0063
2007-01-19,48.8576
2007-01-12,48.3348
2007-01-05,47.7988
2006-12-29,47.2960
2006-12-22,46.9298
2006-12-15,46.4881
2006-12-08,46.0890
2006-12-01,45.7408
2006-11-24,45.2913
2006-11-17,44.6205
2006-11-10,44.0319
2006-11-03,43.3750
2006-10-27,42.7090
2006-10-20,41.9236
2006-10-13,41.4167
2006-10-06,41.1326
2006-09-29,40.9429
2006-09-22,40.7247
2006-09-15,40.3530
2006-09-08,40.1225
2006-09-01,39.7733
2006-08-25,39.4927
2006-08-18,39.1953
2006-08-11,39.2495
2006-08-04,39.3751
2006-07-28,39.4365
2006-07-21,39.6844
2006-07-14,40.1669
2006-07-07,40.4338
2006-06-30,40.6055
2006-06-23,40.8722
2006-06-16,41.0822
2006-06-09,41.3820
2006-06-02,41.5871
2006-05-26,41.6956
2006-05-19,41.8749
2006-05-12,41.8826
2006-05-05,41.8011
2006-04-28,41.7365
2006-04-21,41.8036
2006-04-13,41.8324
2006-04-07,41.7860
2006-03-31,41.7033
2006-03-24,41.5728
2006-03-17,41.3985
2006-03-10,41.3611
2006-03-03,41.4863
2006-02-24,41.6451
2006-02-17,41.8278
2006-02-10,41.9118
2006-02-03,42.1942
2006-01-27,42.4174
2006-01-20,42.6551
