time,DEMA
2021-12-03,99.8139
2021-11-26,100.6282
2021-11-19,102.7877
2021-11-12,104.4359
2021-11-05,105.6687
2021-10-29,109.0152
2021-10-22,112.6595
2021-10-15,111.7282
2021-10-08,110.6434
2021-10-01,109.4547
2021-09-24,109.5588
2021-09-17,111.1474
2021-09-10,111.6944
2021-09-03,111.9822
2021-08-27,112.4118
2021-08-20,112.9306
2021-08-13,112.3301
2021-08-06,111.8664
2021-07-30,112.0639
2021-07-23,112.3293
2021-07-16,114.3834
2021-07-09,115.3555
2021-07-02,117.0962
2021-06-25,116.8917
2021-06-18,117.5247
2021-06-11,115.9505
2021-06-04,114.8180
2021-05-28,114.0659
2021-05-21,112.9098
2021-05-14,111.4468
2021-05-07,108.8826
2021-04-30,106.5812
2021-04-23,103.8725
2021-04-16,103.1991
2021-04-09,101.7286
2021-04-01,100.1602
2021-03-26,97.1868
2021-03-19,95.7392
2021-03-12,94.0266
2021-03-05,93.3721
2021-02-26,93.4091
2021-02-19,94.1033
2021-02-12,94.4666
2021-02-05,94.6553
2021-01-29,95.8276
2021-01-22,97.7697
2021-01-15,96.7545
2021-01-08,95.8034
2020-12-31,95.2068
2020-12-24,94.6302
2020-12-18,94.2130
2020-12-11,93.1673
2020-12-04,91.3467
2020-11-27,89.7150
2020-11-20,89.8126
2020-11-13,89.6693
2020-11-06,89.6454
2020-10-30,91.9562
2020-10-23,94.4651
2020-10-16,93.6710
2020-10-09,92.1628
2020-10-02,92.2275
2020-09-25,92.7410
2020-09-18,93.4563
2020-09-11,93.7727
2020-09-04,94.2461
2020-08-28,93.8188
2020-08-21,93.7098
2020-08-14,93.0469
2020-08-07,92.0769
2020-07-31,91.9379
2020-07-24,91.2870
2020-07-17,90.0034
2020-07-10,90.3680
2020-07-02,90.3736
2020-06-26,91.4674
2020-06-19,91.5569
2020-06-12,92.6371
2020-06-05,89.7301
2020-05-29,88.3556
2020-05-22,87.6357
2020-05-15,87.1697
2020-05-08,85.9435
2020-05-01,85.2125
2020-04-24,82.7523
2020-04-17,81.6489
2020-04-09,79.4869
2020-04-03,80.4398
2020-03-27,82.6396
2020-03-20,90.1833
2020-03-13,99.3243
2020-03-06,104.3887
2020-02-28,107.7020
2020-02-21,107.2568
2020-02-14,105.1826
2020-02-07,101.2925
2020-01-31,99.3818
2020-01-24,98.6668
2020-01-17,97.9293
2020-01-10,97.7004
2020-01-03,98.0715
2019-12-27,98.0039
2019-12-20,97.7367
2019-12-13,97.6646
2019-12-06,98.1003
2019-11-29,98.3452
2019-11-22,98.6821
2019-11-15,99.2021
2019-11-08,98.9702
2019-11-01,99.4927
2019-10-25,100.2783
2019-10-18,102.4169
2019-10-11,102.1642
2019-10-04,101.8147
2019-09-27,100.8500
2019-09-20,100.3486
2019-09-13,99.2234
2019-09-06,98.3388
2019-08-30,98.9930
2019-08-23,101.0892
2019-08-16,102.6605
2019-08-09,104.4818
2019-08-02,104.4131
2019-07-26,102.3092
2019-07-19,99.7230
2019-07-12,98.5088
2019-07-05,97.4319
2019-06-28,96.4253
2019-06-21,95.1905
2019-06-14,94.7399
2019-06-07,94.4639
2019-05-31,96.4092
2019-05-24,97.4289
2019-05-17,98.3400
2019-05-10,99.6147
2019-05-03,100.2118
2019-04-26,100.6906
2019-04-18,101.1796
2019-04-12,100.1976
2019-04-05,99.2265
2019-03-29,98.3125
2019-03-22,97.7702
2019-03-15,96.7187
2019-03-08,96.4131
2019-03-01,94.6805
2019-02-22,92.2733
2019-02-15,89.6650
2019-02-08,87.2245
2019-02-01,84.5054
2019-01-25,81.1528
2019-01-18,79.7299
2019-01-11,78.7590
2019-01-04,78.4836
2018-12-28,79.5156
2018-12-21,82.0780
2018-12-14,82.7916
2018-12-07,83.6476
2018-11-30,83.0728
2018-11-23,84.6777
2018-11-16,85.9481
2018-11-09,87.1973
2018-11-02,91.7302
2018-10-26,96.9171
2018-10-19,100.8002
2018-10-12,102.7201
2018-10-05,102.7957
2018-09-28,101.8844
2018-09-21,100.8177
2018-09-14,100.1757
2018-09-07,99.8599
2018-08-31,99.6124
2018-08-24,98.9766
2018-08-17,98.2910
2018-08-10,98.0488
2018-08-03,97.3557
2018-07-27,97.0863
2018-07-20,96.2750
2018-07-13,95.4188
2018-07-06,95.2392
2018-06-29,96.3467
2018-06-22,97.2383
2018-06-15,97.3338
