time,TRIMA
2020-10-02,95.0770
2020-09-25,95.3197
2020-09-18,95.2998
2020-09-11,95.0106
2020-09-04,94.5032
2020-08-28,93.9328
2020-08-21,93.2394
2020-08-14,92.8455
2020-08-07,92.7172
2020-07-31,92.8200
2020-07-24,93.0058
2020-07-17,93.3274
2020-07-10,93.4927
2020-07-02,93.3228
2020-06-26,92.9726
2020-06-19,92.5419
2020-06-12,91.8406
2020-06-05,90.7550
2020-05-29,89.2263
2020-05-22,87.1882
2020-05-15,85.2078
2020-05-08,83.7335
2020-05-01,83.5214
2020-04-24,85.0062
2020-04-17,88.6378
2020-04-09,93.3619
2020-04-03,98.2803
2020-03-27,102.4606
2020-03-20,105.3132
2020-03-13,106.2637
2020-03-06,105.6171
2020-02-28,104.3391
2020-02-21,102.8327
2020-02-14,101.5020
2020-02-07,100.5896
2020-01-31,100.1824
2020-01-24,99.9624
2020-01-17,99.8655
2020-01-10,99.8718
2020-01-03,99.9300
2019-12-27,99.8786
2019-12-20,100.0024
2019-12-13,100.2470
2019-12-06,100.6187
2019-11-29,101.0850
2019-11-22,101.7951
2019-11-15,102.5474
2019-11-08,102.9614
2019-11-01,102.9815
2019-10-25,102.6643
2019-10-18,102.0517
2019-10-11,101.2628
2019-10-04,100.8710
2019-09-27,101.0853
2019-09-20,101.7652
2019-09-13,102.6916
2019-09-06,103.6566
2019-08-30,104.2672
2019-08-23,104.1659
2019-08-16,103.4340
2019-08-09,102.2094
2019-08-02,100.7120
2019-07-26,99.2076
2019-07-19,97.9399
2019-07-12,97.0842
2019-07-05,96.6853
2019-06-28,96.7597
2019-06-21,97.2358
2019-06-14,98.0433
2019-06-07,98.9784
2019-05-31,99.8562
2019-05-24,100.4924
2019-05-17,100.7926
2019-05-10,100.7992
2019-05-03,100.5753
2019-04-26,100.2449
2019-04-18,99.7845
2019-04-12,99.2290
2019-04-05,98.6718
2019-03-29,97.7541
2019-03-22,96.4259
2019-03-15,94.6941
2019-03-08,92.6065
2019-03-01,90.0568
2019-02-22,87.6087
2019-02-15,85.5754
2019-02-08,84.1813
2019-02-01,83.3396
2019-01-25,83.2626
2019-01-18,83.8376
2019-01-11,84.3920
2019-01-04,84.7799
2018-12-28,85.2011
2018-12-21,85.9041
2018-12-14,86.8762
2018-12-07,88.5733
2018-11-30,91.1305
2018-11-23,94.3118
2018-11-16,97.4119
2018-11-09,100.0526
2018-11-02,102.0365
2018-10-26,103.0806
2018-10-19,103.2849
2018-10-12,103.0212
2018-10-05,102.5490
2018-09-28,102.0852
2018-09-21,101.6798
2018-09-14,101.3126
2018-09-07,100.8456
2018-08-31,100.3057
2018-08-24,99.7795
2018-08-17,99.3255
2018-08-10,98.9175
2018-08-03,98.6794
2018-07-27,98.7460
2018-07-20,98.9207
2018-07-13,99.0489
2018-07-06,99.2234
2018-06-29,99.4258
2018-06-22,99.7912
2018-06-15,100.1825
2018-06-08,100.7800
2018-06-01,101.5732
2018-05-25,102.6328
2018-05-18,103.7088
2018-05-11,104.5768
2018-05-04,105.3702
2018-04-27,106.0552
2018-04-20,106.4402
2018-04-13,106.4145
2018-04-06,106.6166
2018-03-29,106.8587
2018-03-23,107.2189
2018-03-16,107.7054
2018-03-09,108.3162
2018-03-02,108.6661
2018-02-23,108.5677
2018-02-16,108.1478
2018-02-09,107.3959
2018-02-02,106.3581
2018-01-26,105.3546
2018-01-19,104.5861
2018-01-12,103.8942
2018-01-05,103.3536
2017-12-29,103.1600
2017-12-22,102.9114
2017-12-15,102.6187
2017-12-08,102.2847
