timestamp,open,high,low,close,volume
2020-08-21,13.2600,13.3200,13.1500,13.2500,751279
2020-08-20,13.4700,13.4750,13.2200,13.3800,854559
2020-08-19,13.5700,13.7100,13.4700,13.5000,521089
2020-08-18,13.8100,13.8700,13.5400,13.5700,571445
2020-08-17,13.9400,13.9600,13.7900,13.8300,428487
2020-08-14,13.8300,14.0900,13.8300,13.8800,394013
2020-08-13,14.0600,14.0600,13.7700,13.9000,431319
2020-08-12,13.9200,14.1350,13.9200,13.9900,937280
2020-08-11,14.0000,14.2600,13.7800,13.8000,1083507
2020-08-10,13.6100,13.9900,13.6100,13.9200,3177437
2020-08-07,13.6400,13.8000,13.4300,13.8000,868768
2020-08-06,13.4500,13.7100,13.4100,13.6400,1323595
2020-08-05,13.3300,13.7100,13.2900,13.4500,1896491
2020-08-04,12.9600,13.2100,12.8700,13.1900,1289260
2020-08-03,12.9700,13.1350,12.7100,12.9900,745146
2020-07-31,12.9300,13.0000,12.5200,12.7700,791779
2020-07-30,13.0000,13.0000,12.7900,12.9100,1004857
2020-07-29,12.8000,13.2300,12.7600,13.1800,1151943
2020-07-28,12.7500,12.8700,12.7100,12.7100,733676
2020-07-27,13.1300,13.1300,12.7700,12.8400,1047207
2020-07-24,12.9900,13.1300,12.8700,12.9000,685218
2020-07-23,13.1800,13.1899,12.9000,13.0300,1125517
2020-07-22,13.2000,13.2700,13.0150,13.1800,770278
2020-07-21,13.0700,13.4700,12.9500,13.3600,928234
2020-07-20,12.7500,12.9700,12.6900,12.8900,977817
2020-07-17,12.9000,13.1800,12.7100,12.7400,678200
2020-07-16,12.6800,12.9600,12.4700,12.8000,775600
2020-07-15,12.3100,12.8800,12.3100,12.8000,716100
2020-07-14,12.2200,12.3200,12.0000,12.0000,811800
2020-07-13,12.6700,12.6700,12.1100,12.2000,1133800
2020-07-10,12.2000,12.4900,12.1200,12.4900,1074800
2020-07-09,12.7500,12.7600,12.2500,12.2500,1087100
2020-07-08,12.8200,12.9600,12.6100,12.7200,2130700
2020-07-07,12.5400,13.0300,12.5000,12.7100,1746100
2020-07-06,13.2100,13.3600,12.4400,12.6600,2590900
2020-07-02,13.3800,13.3800,13.0200,13.0300,965200
2020-07-01,13.2200,13.5200,12.9900,13.2300,734700
2020-06-30,13.0400,13.3100,12.8800,13.2000,632800
2020-06-29,13.0400,13.2600,12.9200,13.0200,815700
2020-06-26,13.6600,13.6600,12.9300,13.1100,1690522
2020-06-25,13.6000,13.9700,13.3900,13.6900,865809
2020-06-24,14.2900,14.2900,13.4500,13.7000,1358849
