time,Real Lower Band,Real Middle Band,Real Upper Band
2023-02-03,115.0354,126.4845,137.9336
2023-01-27,116.7503,127.1961,137.6419
2023-01-20,123.4056,128.5039,133.6023
2023-01-13,122.6854,128.3166,133.9477
2023-01-06,121.8241,128.5256,135.2270
2022-12-30,120.0172,129.4209,138.8246
2022-12-23,121.1375,130.7684,140.3993
2022-12-16,123.3084,131.8475,140.3865
2022-12-09,127.0199,132.3897,137.7595
2022-12-02,116.6122,130.2792,143.9462
2022-11-25,113.6435,128.1528,142.6622
2022-11-18,106.5977,124.5478,142.4979
2022-11-11,96.6827,119.3192,141.9557
2022-11-04,92.7117,114.6786,136.6454
2022-10-28,90.5112,111.4477,132.3842
2022-10-21,97.4954,108.6352,119.7750
2022-10-14,99.6140,108.1670,116.7200
2022-10-07,98.4038,109.7958,121.1878
2022-09-30,101.1249,111.3925,121.6602
2022-09-23,106.4661,113.4521,120.4381
2022-09-16,105.4665,116.2397,127.0129
2022-09-09,107.2476,117.4395,127.6314
2022-09-02,108.0271,117.7284,127.4297
2022-08-26,109.0871,117.9694,126.8518
2022-08-19,106.4409,117.3030,128.1650
2022-08-12,106.5845,117.2655,127.9464
2022-08-05,105.0850,118.1007,131.1165
2022-07-29,105.2409,119.6194,133.9979
2022-07-22,108.1356,121.6003,135.0650
2022-07-15,116.3183,122.7903,129.2622
2022-07-08,114.7006,122.1346,129.5687
2022-07-01,114.5924,122.2594,129.9264
2022-06-24,114.7044,121.9343,129.1641
2022-06-17,108.0508,119.5473,131.0438
2022-06-10,107.5337,119.2977,131.0617
2022-06-03,107.5088,119.2645,131.0202
2022-05-27,107.3261,117.4061,127.4861
2022-05-20,108.7394,116.9322,125.1250
2022-05-13,105.1755,116.3250,127.4745
2022-05-06,102.3729,115.0210,127.6692
2022-04-29,102.9667,113.7153,124.4639
2022-04-22,102.9140,113.5660,124.2179
2022-04-14,107.4937,111.9181,116.3426
2022-04-08,104.8718,111.4667,118.0616
2022-04-01,104.4316,111.2739,118.1163
2022-03-25,102.9301,110.2373,117.5445
2022-03-18,104.1783,109.0219,113.8654
2022-03-11,101.0903,109.7043,118.3182
2022-03-04,99.7336,111.7056,123.6776
2022-02-25,100.5012,112.7905,125.0797
2022-02-18,102.9721,113.4156,123.8592
2022-02-11,108.3463,114.8449,121.3436
2022-02-04,108.3699,114.9325,121.4950
2022-01-28,109.1443,114.3338,119.5234
2022-01-21,108.1382,113.6700,119.2017
2022-01-14,106.1885,113.3355,120.4825
2022-01-07,101.3895,111.5996,121.8098
2021-12-31,95.6009,108.8568,122.1128
2021-12-23,91.8373,105.7950,119.7527
2021-12-17,91.5015,103.2941,115.0867
2021-12-10,94.1704,101.8464,109.5224
2021-12-03,95.6871,101.4802,107.2732
2021-11-26,95.5773,101.3356,107.0939
2021-11-19,96.8880,102.1605,107.4331
2021-11-12,88.2962,105.6511,123.0060
2021-11-05,88.5122,108.4176,128.3230
2021-10-29,90.0602,110.6866,131.3129
2021-10-22,97.5970,112.6912,127.7853
2021-10-15,104.8845,113.8803,122.8762
2021-10-08,104.4902,112.6523,120.8145
2021-10-01,105.3468,112.0634,118.7801
2021-09-24,107.5093,111.4308,115.3524
2021-09-17,107.5851,111.6929,115.8008
2021-09-10,108.1581,112.9792,117.8002
2021-09-03,109.7081,113.8555,118.0028
2021-08-27,109.5855,113.8170,118.0485
2021-08-20,109.7361,113.8668,117.9975
2021-08-13,108.3661,113.5749,118.7837
2021-08-06,109.0738,113.0435,117.0132
2021-07-30,110.0576,112.3926,114.7275
2021-07-23,106.7857,113.3330,119.8803
2021-07-16,106.9685,113.6177,120.2668
2021-07-09,105.8656,115.5977,125.3297
2021-07-02,107.2930,116.5413,125.7896
2021-06-25,110.1132,117.1362,124.1593
2021-06-18,109.6140,116.8004,123.9867
2021-06-11,110.4676,117.0499,123.6322
2021-06-04,113.1595,116.1191,119.0786
2021-05-28,110.5985,114.9800,119.3616
2021-05-21,109.2990,114.5165,119.7341
2021-05-14,101.1091,112.4951,123.8810
2021-05-07,99.2453,110.8216,122.3979
2021-04-30,99.1353,108.6281,118.1208
2021-04-23,99.9137,107.7582,115.6028
2021-04-16,99.3882,105.6184,111.8487
2021-04-09,96.2648,104.6727,113.0806
2021-04-01,91.5437,102.6325,113.7214
2021-03-26,86.3582,100.3710,114.3837
2021-03-19,87.6846,97.6207,107.5568
2021-03-12,88.6934,96.3397,103.9860
2021-03-05,91.7696,95.1655,98.5614
2021-02-26,91.6532,94.3290,97.0048
2021-02-19,90.5855,94.0313,97.4771
2021-02-12,87.0822,95.2504,103.4186
2021-02-05,85.9959,96.2051,106.4144
2021-01-29,86.5729,96.8435,107.1140
