time,TRANGE
2024-12-04,4.6447
2024-12-03,2.3910
2024-12-02,2.8123
2024-11-29,3.3708
2024-11-27,4.8211
2024-11-26,3.3988
2024-11-25,3.6942
2024-11-22,6.1832
2024-11-21,7.8686
2024-11-20,5.0832
2024-11-19,4.0568
2024-11-18,3.3562
2024-11-15,4.8211
2024-11-14,4.4781
2024-11-13,2.2929
2024-11-12,3.8902
2024-11-11,1.8763
2024-11-08,3.8101
2024-11-07,2.5179
2024-11-06,6.5721
2024-11-05,2.4742
2024-11-04,2.3819
2024-11-01,3.0333
2024-10-31,4.4916
2024-10-30,6.6693
2024-10-29,3.3930
2024-10-28,3.4513
2024-10-25,4.1464
2024-10-24,16.1288
2024-10-23,2.9944
2024-10-22,2.2361
2024-10-21,2.0999
2024-10-18,2.6347
2024-10-17,2.9312
2024-10-16,2.6833
2024-10-15,4.5304
2024-10-14,2.8680
2024-10-11,2.8972
2024-10-10,3.9082
2024-10-09,6.2707
2024-10-08,2.2408
2024-10-07,2.5763
2024-10-04,3.2666
2024-10-03,3.4610
2024-10-02,4.2796
2024-10-01,5.0554
2024-09-30,2.2361
2024-09-27,3.2860
2024-09-26,2.6930
2024-09-25,1.6430
2024-09-24,2.9458
2024-09-23,3.2569
2024-09-20,3.9957
2024-09-19,7.8845
2024-09-18,3.1791
2024-09-17,5.6776
2024-09-16,3.0235
2024-09-13,4.3554
2024-09-12,4.2631
2024-09-11,6.8832
2024-09-10,2.8777
2024-09-09,4.1902
2024-09-06,4.6325
2024-09-05,4.8513
2024-09-04,3.7527
2024-09-03,4.3846
2024-08-30,3.3444
2024-08-29,2.7708
2024-08-28,2.4402
2024-08-27,2.3624
2024-08-26,2.3770
2024-08-23,2.9069
2024-08-22,2.2847
2024-08-21,3.1256
2024-08-20,2.3916
2024-08-19,1.7597
2024-08-16,1.4486
2024-08-15,1.8763
2024-08-14,2.2944
2024-08-13,2.0416
2024-08-12,2.5044
2024-08-09,3.4902
2024-08-08,5.8599
2024-08-07,3.0552
2024-08-06,5.3876
2024-08-05,7.0453
2024-08-02,3.8166
2024-08-01,5.1515
2024-07-31,4.3948
2024-07-30,3.5468
2024-07-29,3.9612
2024-07-26,3.8050
2024-07-25,11.7968
2024-07-24,1.8566
2024-07-23,2.2842
2024-07-22,2.0336
