time,ULTOSC
2024-12-04,65.4487
2024-12-03,65.8895
2024-12-02,66.0698
2024-11-29,67.4040
2024-11-27,71.4782
2024-11-26,69.3234
2024-11-25,67.3286
2024-11-22,66.0763
2024-11-21,68.5823
2024-11-20,60.5561
2024-11-19,53.6974
2024-11-18,47.6037
2024-11-15,48.8781
2024-11-14,53.6864
2024-11-13,50.6869
2024-11-12,46.8677
2024-11-11,49.7035
2024-11-08,46.6432
2024-11-07,47.1500
2024-11-06,43.8293
2024-11-05,33.5967
2024-11-04,28.9366
2024-11-01,30.8886
2024-10-31,31.6595
2024-10-30,30.3316
2024-10-29,35.2094
2024-10-28,39.8580
2024-10-25,44.9691
2024-10-24,45.9199
2024-10-23,64.8455
2024-10-22,66.1060
2024-10-21,63.3551
2024-10-18,67.0191
2024-10-17,66.8626
2024-10-16,65.6759
2024-10-15,65.8280
2024-10-14,75.5656
2024-10-11,77.4122
2024-10-10,75.0934
2024-10-09,81.1262
2024-10-08,72.1416
2024-10-07,72.1000
2024-10-04,69.6924
2024-10-03,68.7225
2024-10-02,67.9470
2024-10-01,67.8725
2024-09-30,65.0333
2024-09-27,62.4359
2024-09-26,62.9374
2024-09-25,61.7884
2024-09-24,61.8473
2024-09-23,61.4031
2024-09-20,61.9934
2024-09-19,60.4206
2024-09-18,63.3500
2024-09-17,62.3384
2024-09-16,65.4467
2024-09-13,66.5946
2024-09-12,62.5176
2024-09-11,62.6674
2024-09-10,54.8621
2024-09-09,52.4913
2024-09-06,52.0057
2024-09-05,56.9720
2024-09-04,61.2293
2024-09-03,54.7584
2024-08-30,63.6580
2024-08-29,60.0795
2024-08-28,64.2189
2024-08-27,67.8200
2024-08-26,66.4980
2024-08-23,64.7379
2024-08-22,65.1862
2024-08-21,66.2077
2024-08-20,61.4860
2024-08-19,63.5920
2024-08-16,59.1383
2024-08-15,59.0514
2024-08-14,52.5865
2024-08-13,54.8064
2024-08-12,50.9108
2024-08-09,52.4978
2024-08-08,51.5939
2024-08-07,45.8495
2024-08-06,48.2410
2024-08-05,49.9304
2024-08-02,54.5909
2024-08-01,51.0476
2024-07-31,55.1607
2024-07-30,53.8057
2024-07-29,51.1546
2024-07-26,52.1658
2024-07-25,53.9337
2024-07-24,47.8034
2024-07-23,51.0903
2024-07-22,52.8734
2024-07-19,55.3288
2024-07-18,59.5121
2024-07-17,66.7501
2024-07-16,66.7759
2024-07-15,61.2058
2024-07-12,66.2800
2024-07-11,63.1516
2024-07-10,65.4768
2024-07-09,59.9714
2024-07-08,61.8882
2024-07-05,58.3064
2024-07-03,53.5713
2024-07-02,53.5602
2024-07-01,53.2323
2024-06-28,54.7391
2024-06-27,54.2089
2024-06-26,58.3890
2024-06-25,58.4464
2024-06-24,59.2764
2024-06-21,63.4726
2024-06-20,69.3210
2024-06-18,64.9421
2024-06-17,62.5190
2024-06-14,60.7004
2024-06-13,59.3844
2024-06-12,56.7245
2024-06-11,65.6783
2024-06-10,64.0011
2024-06-07,59.3434
2024-06-06,58.5735
2024-06-05,55.9748
2024-06-04,47.4290
2024-06-03,45.0283
2024-05-31,47.5862
2024-05-30,44.1413
2024-05-29,45.2360
2024-05-28,49.5409
2024-05-24,51.2574
2024-05-23,53.5516
2024-05-22,64.7455
2024-05-21,66.5085
2024-05-20,59.7047
2024-05-17,58.8955
2024-05-16,54.0374
2024-05-15,57.7073
2024-05-14,51.2589
2024-05-13,54.6672
2024-05-10,51.3886
2024-05-09,50.9721
2024-05-08,54.8804
2024-05-07,50.5430
2024-05-06,39.5716
2024-05-03,38.4241
2024-05-02,38.2346
2024-05-01,35.7241
2024-04-30,37.5068
2024-04-29,37.1788
2024-04-26,37.2866
2024-04-25,38.1915
2024-04-24,44.0752
2024-04-23,37.0162
2024-04-22,35.8455
2024-04-19,33.9012
2024-04-18,35.4808
2024-04-17,35.9695
2024-04-16,36.6434
2024-04-15,31.5054
2024-04-12,39.1417
2024-04-11,43.2929
2024-04-10,43.1432
2024-04-09,47.6924
2024-04-08,50.3080
2024-04-05,47.5222
2024-04-04,43.8614
2024-04-03,48.6136
2024-04-02,44.8809
2024-04-01,49.6943
2024-03-28,52.0089
2024-03-27,52.2001
2024-03-26,45.6288
2024-03-25,45.6754
2024-03-22,48.3693
2024-03-21,56.3861
2024-03-20,54.3552
2024-03-19,50.8451
2024-03-18,46.3867
2024-03-15,49.3074
2024-03-14,50.4606
2024-03-13,57.6611
2024-03-12,61.1429
2024-03-11,54.2922
2024-03-08,59.3125
2024-03-07,61.9143
2024-03-06,63.1458
2024-03-05,62.9253
2024-03-04,67.6469
2024-03-01,58.8053
2024-02-29,48.8605
2024-02-28,52.5910
2024-02-27,53.8944
2024-02-26,50.6952
2024-02-23,51.6443
2024-02-22,52.0790
2024-02-21,49.3064
2024-02-20,54.9145
2024-02-16,64.9538
2024-02-15,63.6217
2024-02-14,54.0991
2024-02-13,55.0547
2024-02-12,61.6823
2024-02-09,53.8286
2024-02-08,51.5841
2024-02-07,46.7492
2024-02-06,43.1850
2024-02-05,54.0532
2024-02-02,56.5356
2024-02-01,59.4156
2024-01-31,56.5530
2024-01-30,63.3880
2024-01-29,64.0558
2024-01-26,65.3582
2024-01-25,71.4297
2024-01-24,73.2461
2024-01-23,74.8431
2024-01-22,73.5520
2024-01-19,75.0587
2024-01-18,72.2964
2024-01-17,66.8610
2024-01-16,70.2152
2024-01-12,65.3537
2024-01-11,57.1730
2024-01-10,52.3253
2024-01-09,48.4684
2024-01-08,51.2637
2024-01-05,43.1659
2024-01-04,50.6897
2024-01-03,53.3624
2024-01-02,54.2591
2023-12-29,56.6971
2023-12-28,58.7420
2023-12-27,53.3704
2023-12-26,54.9202
2023-12-22,51.3504
2023-12-21,48.7476
2023-12-20,50.4175
2023-12-19,58.2133
2023-12-18,58.3041
2023-12-15,54.6311
2023-12-14,57.9118
