timestamp,open,high,low,close,volume
2026-05-17,69873.04000000,70257.11000000,66842.98000000,67310.48000000,1201.84216521
2026-05-10,66944.78000000,70300.00000000,66750.01000000,69856.19000000,1673.32192250
2026-05-03,67249.40000000,67823.19000000,64198.60000000,66944.80000000,1533.49602351
2026-04-26,62870.00000000,67877.36000000,62835.70000000,67227.34000000,2152.68508946
2026-04-19,60593.27000000,66422.42000000,60400.57000000,62908.22000000,2632.58062755
2026-04-12,59960.55000000,63010.45000000,58547.03000000,60606.16000000,2770.94427680
2026-04-05,57479.05000000,60048.96000000,57032.13000000,59955.61000000,1912.53474746
2026-03-29,58706.20000000,62117.92000000,56566.32000000,57481.05000000,2451.64572508
2026-03-22,63734.90000000,66149.00000000,58400.00000000,58702.47000000,2573.52441242
2026-03-15,57288.72000000,64420.62000000,57172.07000000,63718.60000000,2429.21311087
2026-03-08,55952.66000000,63739.65000000,55787.77000000,57278.91000000,2969.41105690
2026-03-01,57173.43000000,59300.00000000,53126.00000000,55947.58000000,3143.13018258
2026-02-22,58018.68000000,59123.90000000,55863.00000000,57160.86000000,1953.60827154
2026-02-15,59542.02000000,60427.34000000,54895.20000000,58005.29000000,3067.48965840
2026-02-08,64919.82000000,67240.06000000,51001.85000000,59548.04000000,6215.05950120
2026-02-01,73018.25000000,75800.00000000,63917.27000000,64919.82000000,3006.14935225
2026-01-25,80512.74000000,80512.74000000,72354.84000000,73015.02000000,1582.19888569
2026-01-18,78209.24000000,84100.00000000,77067.54000000,80573.83000000,1461.39050107
2026-01-11,78194.66000000,80899.87000000,76526.54000000,78210.60000000,1553.28118104
2026-01-04,74603.32000000,78367.51000000,73680.23000000,78186.28000000,1803.92746421
2025-12-28,75709.64000000,77118.95000000,73317.59000000,74619.46000000,1271.04200481
2025-12-21,75171.28000000,76892.08000000,72001.01000000,75692.15000000,1816.09144763
2025-12-14,77664.75000000,81307.15000000,74650.42000000,75155.88000000,1546.69846056
2025-12-07,77913.00000000,80709.99000000,72103.01000000,77685.34000000,2343.01867429
2025-11-30,75465.62000000,80494.83000000,73938.29000000,77928.70000000,2373.20403006
2025-11-23,81015.80000000,82749.00000000,70005.42000000,75497.61000000,4277.37655358
2025-11-16,90604.61000000,92995.00000000,79837.64000000,81032.17000000,2804.94472289
2025-11-09,95841.12000000,96012.31000000,85838.17000000,90639.41000000,2540.45689845
2025-11-02,98452.31000000,100000.00000000,91914.16000000,95841.82000000,1576.29687511
2025-10-26,93280.21000000,99117.50000000,91921.35000000,98452.32000000,2126.61892267
2025-10-19,99414.73000000,100328.16000000,88574.54000000,93280.20000000,2998.16623871
2025-10-12,105020.09000000,107497.44000000,93000.00000000,99374.98000000,2819.52972641
2025-10-05,95899.83000000,106273.87000000,95149.27000000,105042.12000000,2000.73989276
2025-09-28,98242.39000000,98398.35000000,91000.00000000,95894.83000000,1814.73981884
2025-09-21,98322.71000000,100130.84000000,96750.00000000,98244.56000000,1089.53392318
2025-09-14,94879.37000000,99530.00000000,94396.53000000,98319.70000000,1293.56421177
2025-09-07,92586.84000000,96800.00000000,91599.82000000,94870.79000000,1397.36733806
2025-08-31,96803.29000000,97401.19000000,91970.11000000,92613.46000000,1670.85754165
2025-08-24,100344.89000000,100513.66000000,94123.00000000,96837.57000000,1565.76150034
2025-08-17,102323.75000000,105751.45000000,99800.00000000,100360.74000000,1445.83504162
2025-08-10,98708.57000000,102323.75000000,97365.53000000,102323.74000000,1015.84930679
2025-08-03,101611.55000000,104033.59000000,96650.00000000,98705.62000000,1531.60383203
2025-07-27,100815.41000000,102759.55000000,97510.90000000,101585.84000000,1341.06813960
2025-07-20,101661.23000000,104700.00000000,99401.00000000,100843.32000000,1989.90121478
2025-07-13,92736.63000000,101776.17000000,91507.07000000,101674.35000000,2095.70649523
2025-07-06,92445.13000000,93950.00000000,89070.00000000,92731.71000000,1187.18811129
2025-06-29,87774.16000000,93252.25000000,86510.62000000,92430.31000000,1250.52129234
2025-06-22,91522.19000000,94258.00000000,85424.24000000,87823.88000000,1641.57704537
2025-06-15,92741.21000000,96827.63000000,89045.76000000,91527.68000000,1479.03976873
