timestamp,open,high,low,close,volume
2025-11-09,94890.77000000,96294.93000000,85838.17000000,88100.11000000,2602.00148760
2025-10-31,97237.62000000,107497.44000000,88574.54000000,94886.48000000,10867.42083737
2025-09-30,92586.84000000,100130.84000000,91000.00000000,97226.61000000,6024.10761521
2025-08-31,101377.69000000,105751.45000000,91970.11000000,92613.46000000,6330.17314570
2025-07-31,90931.78000000,104700.00000000,89070.00000000,101383.62000000,7331.39714271
2025-06-30,92308.49000000,96827.63000000,85424.24000000,90926.69000000,5866.02037475
2025-05-31,83190.39000000,99358.54000000,82260.25000000,92311.30000000,7529.99367554
2025-04-30,76308.54000000,84344.93000000,65826.00000000,83197.46000000,12517.54549967
2025-03-31,81292.59000000,91879.20000000,70570.00000000,76328.78000000,13622.24409031
2025-02-28,98887.87000000,99421.84000000,75141.16000000,81285.36000000,12128.30686195
2025-01-31,90119.83000000,105951.19000000,87437.71000000,98885.16000000,12861.42247124
2024-12-31,91143.07000000,103000.00000000,86600.00000000,90119.83000000,13550.93466164
