time,FAMA,MAMA
2025-02-11,160.7222,203.6416
2025-02-10,160.5065,203.1607
2025-02-07,160.2922,202.7290
2025-02-06,160.0789,202.2791
2025-02-05,159.8669,201.8138
2025-02-04,159.6561,201.2462
2025-02-03,159.4471,200.6614
2025-01-31,159.2400,200.1076
2025-01-30,159.0346,199.5980
2025-01-29,158.8308,199.0578
2025-01-28,158.6286,198.8055
2025-01-27,158.4267,198.5800
2025-01-24,158.2250,198.3675
2025-01-23,158.0233,198.1461
2025-01-22,157.8216,197.9103
2025-01-21,157.6202,197.6995
2025-01-17,157.4188,197.4768
2025-01-16,157.2175,197.2465
2025-01-15,157.0163,197.0350
2025-01-14,156.8152,196.8474
2025-01-13,156.6141,196.6805
2025-01-10,156.4127,196.5154
2025-01-08,156.2112,196.3253
2025-01-07,156.0096,196.0994
2025-01-06,155.8082,195.8634
2025-01-03,155.6069,195.6378
2025-01-02,155.4057,195.4102
2024-12-31,155.2047,195.2071
2024-12-30,155.0037,195.0030
2024-12-27,154.8027,194.7927
2024-12-26,154.6017,194.5552
2024-12-24,154.4010,194.2945
2024-12-23,154.2005,194.0359
2024-12-20,154.0003,193.7992
2024-12-19,153.8003,193.5459
2024-12-18,153.6006,193.2846
2024-12-17,153.4012,193.0577
2024-12-16,153.2019,192.7415
2024-12-13,153.0032,192.4185
2024-12-12,152.8051,192.0774
2024-12-11,152.6078,191.7187
2024-12-10,152.4112,191.3775
2024-12-09,152.2154,191.0171
2024-12-06,152.0204,190.6700
2024-12-05,151.8262,190.2399
2024-12-04,151.6332,189.8379
2024-12-03,151.4412,189.4444
2024-12-02,151.2502,189.0914
2024-11-29,151.0601,188.7507
2024-11-27,150.8707,188.4064
2024-11-26,150.6821,188.0634
2024-11-25,150.4942,187.6981
2024-11-22,150.3073,187.3558
2024-11-21,150.1211,187.0413
2024-11-20,149.9356,186.7293
2024-11-19,149.7507,186.4914
2024-11-18,149.5660,186.2941
2024-11-15,149.3815,186.1162
2024-11-14,149.1969,185.9672
2024-11-13,149.0121,185.7770
2024-11-12,148.8274,185.5659
2024-11-11,148.6427,185.3532
2024-11-08,148.4583,185.1282
2024-11-07,148.2740,184.8994
2024-11-06,148.0900,184.6686
2024-11-05,147.9061,184.4363
2024-11-04,147.7226,184.2609
2024-11-01,147.5390,184.0961
2024-10-31,147.3553,183.9106
2024-10-30,147.1716,183.7382
2024-10-29,146.9878,183.5820
2024-10-28,146.8039,183.3699
2024-10-25,146.6202,183.1313
2024-10-24,146.4367,182.8730
2024-10-23,146.2536,182.5756
2024-10-22,146.0711,182.1342
2024-10-21,145.8899,181.6932
2024-10-18,145.7099,181.2526
2024-10-17,145.5313,180.8032
2024-10-16,145.3541,180.3426
2024-10-15,145.1783,179.8695
2024-10-14,145.0039,179.3987
2024-10-11,144.8311,178.9005
2024-10-10,144.6599,178.4169
2024-10-09,144.4903,177.9308
2024-10-08,144.3222,177.4272
2024-10-07,144.1559,176.9743
2024-10-04,143.9909,176.5316
2024-10-03,143.8274,176.0954
2024-10-02,143.6653,175.6870
2024-10-01,143.5044,175.3038
2024-09-30,143.3446,174.9205
2024-09-27,143.1859,174.5163
2024-09-26,143.0285,174.1104
2024-09-25,142.8723,173.6750
2024-09-24,142.7175,173.2567
2024-09-23,142.5640,172.8368
2024-09-20,142.4119,172.4173
2024-09-19,142.2611,172.0210
2024-09-18,142.1116,171.6582
2024-09-17,141.9631,171.2814
2024-09-16,141.8158,170.9087
2024-09-13,141.6696,170.5025
2024-09-12,141.5247,170.1154
2024-09-11,141.3810,169.7557
2024-09-10,141.2384,169.4093
2024-09-09,141.0969,169.1042
2024-09-06,140.9561,168.8136
2024-09-05,140.8161,168.5475
2024-09-04,140.6768,168.2605
2024-09-03,140.5382,167.9557
2024-08-30,140.4004,167.6757
2024-08-29,140.2633,167.3844
2024-08-28,140.1270,167.1219
2024-08-27,139.9914,166.8611
2024-08-26,139.8564,166.5950
2024-08-23,139.7220,166.3336
2024-08-22,139.5883,166.0880
2024-08-21,139.4551,165.8413
2024-08-20,139.3225,165.5798
2024-08-19,139.1906,165.3273
2024-08-16,139.0592,165.0850
2024-08-15,138.9284,164.8495
2024-08-14,138.7982,164.6100
2024-08-13,138.6685,164.3842
2024-08-12,138.5392,164.1690
2024-08-09,138.4105,163.9666
2024-08-08,138.2820,163.7427
2024-08-07,138.1541,163.5216
2024-08-06,138.0266,163.3548
2024-08-05,137.8993,163.1863
2024-08-02,137.7723,163.0501
2024-08-01,137.6452,162.8559
2024-07-31,137.5186,162.6545
2024-07-30,137.3922,162.4270
2024-07-29,137.2664,162.2078
2024-07-26,137.1411,161.9820
2024-07-25,137.0163,161.7514
2024-07-24,136.8920,161.5163
2024-07-23,136.7682,161.3563
2024-07-22,136.6447,161.1939
2024-07-19,136.5213,161.0294
2024-07-18,136.3982,160.8719
2024-07-17,136.2752,160.6937
2024-07-16,136.1525,160.4920
2024-07-15,136.0302,160.3042
2024-07-12,135.9082,160.1431
2024-07-11,135.7864,159.9808
2024-07-10,135.6648,159.8609
2024-07-09,135.5432,159.7443
2024-07-08,135.4216,159.6398
2024-07-05,135.2999,159.5230
2024-07-03,135.1782,159.4207
2024-07-02,135.0564,159.3202
2024-07-01,134.9344,159.2035
2024-06-28,134.8125,159.1069
2024-06-27,134.6904,159.0304
2024-06-26,134.5681,158.9735
2024-06-25,134.4455,158.9061
2024-06-24,134.3225,158.8309
2024-06-21,134.1994,158.7314
2024-06-20,134.0761,158.6558
2024-06-18,133.9526,158.5653
2024-06-17,133.8289,158.5066
2024-06-14,133.7049,158.4575
2024-06-13,133.5805,158.4108
2024-06-12,133.4557,158.3645
2024-06-11,133.3306,158.3189
2024-06-10,133.2050,158.2697
2024-06-07,133.0790,158.2097
2024-06-06,132.9528,158.1527
2024-06-05,132.8261,158.1127
2024-06-04,132.6991,158.0803
2024-06-03,132.5715,158.0629
2024-05-31,132.4434,158.0504
2024-05-30,132.3147,158.0226
2024-05-29,132.1856,158.0063
2024-05-28,132.0558,157.9760
2024-05-24,131.9256,157.9201
2024-05-23,131.7949,157.8516
2024-05-22,131.6640,157.7845
2024-05-21,131.5327,157.6874
2024-05-20,131.4013,157.5914
2024-05-17,131.2697,157.5290
2024-05-16,131.1377,157.4747
2024-05-15,131.0054,157.4203
2024-05-14,130.8726,157.3724
2024-05-13,130.7395,157.3327
2024-05-10,130.6059,157.2907
2024-05-09,130.4718,157.2522
2024-05-08,130.3372,157.2220
2024-05-07,130.2021,157.1725
2024-05-06,130.0666,157.1372
2024-05-03,129.9305,157.0993
2024-05-02,129.7940,157.0889
2024-05-01,129.6568,157.0883
2024-04-30,129.5190,157.0902
2024-04-29,129.3804,157.0751
2024-04-26,129.2413,157.0480
2024-04-25,129.1015,157.0234
2024-04-24,128.9612,156.9815
2024-04-23,128.8204,156.7927
2024-04-22,128.6799,156.6205
2024-04-19,128.5394,156.4492
2024-04-18,128.3992,156.2794
2024-04-17,128.2591,156.1089
2024-04-16,128.1191,155.9209
2024-04-15,127.9794,155.7248
2024-04-12,127.8400,155.5508
2024-04-11,127.7008,155.3652
2024-04-10,127.5617,155.1428
2024-04-09,127.4232,154.9168
2024-04-08,127.2850,154.6569
2024-04-05,127.1474,154.3895
2024-04-04,127.0105,154.1260
2024-04-03,126.8743,153.8714
2024-04-02,126.7386,153.5857
2024-04-01,126.6037,153.3165
2024-03-28,126.4695,153.0355
2024-03-27,126.3360,152.7408
2024-03-26,126.2033,152.4446
2024-03-25,126.0714,152.1676
2024-03-22,125.9403,151.8850
2024-03-21,125.8099,151.5798
2024-03-20,125.6804,151.2613
